sala,laboratorio_observado,capacidade_minima_observada,capacidade_fisica,recursos_oficiais,fonte,validado
202,False,61,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
204,False,63,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
206,False,70,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
213,False,68,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
215,False,75,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
217,False,63,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
302,False,62,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
304,False,24,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
306,False,50,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
308,False,52,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
313,False,52,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
315,False,15,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
317,False,47,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
319,False,60,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
321,False,64,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
404B,False,87,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
L302,True,62,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
L303,True,47,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
L304,True,62,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
L305,True,50,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
L306,True,62,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
L307,True,49,,,salas_2026_cc_si.csv; capacidade mínima observada calculada pelo maior número de vagas das turmas alocadas,
