turma_id,semestre,codigo,disciplina,turma,correspondencia_2025,cursos_observados_2025,periodos_observados_2025,obrigatoria_em_algum_registro_2025,registros_correspondentes_2025,incorporado_como_fato_2026,fonte
2026-1-TCC00284-A1,2026-1,TCC00284,ALGORITMOS EM GRAFOS,A1,True,31,CC-P6,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00285-A1,2026-1,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,A1,True,31,CC-P5,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00285-B1,2026-1,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,B1,True,31,CC-P5,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00286-A1,2026-1,TCC00286,ARQUITETURAS DE COMPUTADORES,A1,True,31,CC-P3-A;CC-P3-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00349-A1,2026-1,TCC00349,AVALIAÇÃO DE DESEMPENHO,A1,True,31,CC-P5,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00287-A1,2026-1,TCC00287,BANCO DE DADOS I,A1,True,31,CC-P4,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00288-A1,2026-1,TCC00288,BANCO DE DADOS II,A1,True,31,CC-P5,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00336-A1,2026-1,TCC00336,BANCOS DE DADOS NÃO CONVENCIONAIS,A1,True,83,SI-P6,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00336-Z1,2026-1,TCC00336,BANCOS DE DADOS NÃO CONVENCIONAIS,Z1,True,83,SI-P6,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00289-A1,2026-1,TCC00289,COMPILADORES,A1,True,31,CC-P7,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00290-A1,2026-1,TCC00290,COMPUTAÇÃO E SOCIEDADE,A1,True,31,CC-P8,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00222-A1,2026-1,TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SI,A1,True,83,SI-P8,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00291-A1,2026-1,TCC00291,COMPUTAÇÃO GRÁFICA,A1,True,31,CC-P6,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00226-A1,2026-1,TCC00226,DESENVOLVIMENTO WEB,A1,True,31,CC-P5,True,3,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00225-A1,2026-1,TCC00225,ENGENHARIA DE SOFTWARE,A1,True,83,SI-P5,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00292-A1,2026-1,TCC00292,ENGENHARIA DE SOFTWARE I,A1,True,31,CC-P4,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00293-A1,2026-1,TCC00293,ENGENHARIA DE SOFTWARE II,A1,True,31,CC-P6,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00348-A1,2026-1,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,A1,True,31,CC-P3-A;CC-P3-B,True,3,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00348-B1,2026-1,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,B1,True,31,CC-P3-A;CC-P3-B,True,3,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00331-A1,2026-1,TCC00331,ESTRUTURAS DE DADOS PARA SI,A1,True,83,SI-P3;SI-P3-A;SI-P3-B,True,3,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00331-B1,2026-1,TCC00331,ESTRUTURAS DE DADOS PARA SI,B1,True,83,SI-P3;SI-P3-A;SI-P3-B,True,3,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00371-A1,2026-1,TCC00371,ÉTICA EM INT. ARTIFICIAL E CIÊNCIA DE DADOS,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00296-A1,2026-1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,A1,True,31,CC-P1-A;CC-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00296-B1,2026-1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,B1,True,31,CC-P1-A;CC-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00332-A1,2026-1,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,A1,True,83,SI-P1;SI-P1-A;SI-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00332-B1,2026-1,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,B1,True,83,SI-P1;SI-P1-A;SI-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00354-A1,2026-1,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,A1,True,83,SI-P1;SI-P1-A;SI-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00354-B1,2026-1,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,B1,True,83,SI-P1;SI-P1-A;SI-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00363-A1,2026-1,TCC00363,GERÊNCIA DE PROJETOS E MANUT DE SOFTWARE,A1,True,83,SI-P7,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
