curso,codigo_curso,codigo,disciplina,tipo,periodo,grupo,ch,fonte
CC,31,GAN00167,Matemática Discreta,obrigatoria,1,CC-P1,60,dados/grade_cc.md
CC,31,GGM00137,Fundamentos de Cálculo e Geometria,obrigatoria,1,CC-P1,60,dados/grade_cc.md
CC,31,TCC00296,Fundamentos de Arquiteturas de Computadores,obrigatoria,1,CC-P1,64,dados/grade_cc.md
CC,31,TCC00308,Programação de Computadores I,obrigatoria,1,CC-P1,64,dados/grade_cc.md
CC,31,TCC00346,Laboratório de Resolução de Problemas,obrigatoria,1,CC-P1,32,dados/grade_cc.md
CC,31,GAN00140,Álgebra Linear,obrigatoria,2,CC-P2,60,dados/grade_cc.md
CC,31,GMA00154,Cálculo 1,obrigatoria,2,CC-P2,60,dados/grade_cc.md
CC,31,TCC00301,Laboratório de Programação de Jogos,obrigatoria,2,CC-P2,32,dados/grade_cc.md
CC,31,TCC00347,Programação Estruturada,obrigatoria,2,CC-P2,64,dados/grade_cc.md
CC,31,TET00347,Circuitos Digitais para Ciência da Computação,obrigatoria,2,CC-P2,68,dados/grade_cc.md
CC,31,GAN00166,Lógica para a Ciência da Computação,obrigatoria,3,CC-P3,60,dados/grade_cc.md
CC,31,GFI00158,Física I,obrigatoria,3,CC-P3,68,dados/grade_cc.md
CC,31,GMA00155,Cálculo 2,obrigatoria,3,CC-P3,60,dados/grade_cc.md
CC,31,TCC00286,Arquiteturas de Computadores,obrigatoria,3,CC-P3,64,dados/grade_cc.md
CC,31,TCC00328,Programação Orientada a Objetos,obrigatoria,3,CC-P3,68,dados/grade_cc.md
CC,31,TCC00348,Estruturas de Dados e seus Algoritmos,obrigatoria,3,CC-P3,64,dados/grade_cc.md
CC,31,GET00177,Estatística Básica,obrigatoria,4,CC-P4,60,dados/grade_cc.md
CC,31,TCC00287,Banco de Dados I,obrigatoria,4,CC-P4,64,dados/grade_cc.md
CC,31,TCC00292,Engenharia de Software I,obrigatoria,4,CC-P4,64,dados/grade_cc.md
CC,31,TCC00304,Linguagens de Programação,obrigatoria,4,CC-P4,64,dados/grade_cc.md
CC,31,TCC00306,Métodos Numéricos,obrigatoria,4,CC-P4,64,dados/grade_cc.md
CC,31,TCC00316,Sistemas Operacionais,obrigatoria,4,CC-P4,64,dados/grade_cc.md
CC,31,TCC00226,Desenvolvimento Web,obrigatoria,5,CC-P5,68,dados/grade_cc.md
CC,31,TCC00285,Análise e Projeto de Algoritmos,obrigatoria,5,CC-P5,64,dados/grade_cc.md
CC,31,TCC00288,Banco de Dados II,obrigatoria,5,CC-P5,64,dados/grade_cc.md
CC,31,TCC00312,Projeto de Software,obrigatoria,5,CC-P5,64,dados/grade_cc.md
CC,31,TCC00313,Redes de Computadores I,obrigatoria,5,CC-P5,64,dados/grade_cc.md
CC,31,TCC00349,Avaliação de Desempenho,obrigatoria,5,CC-P5,64,dados/grade_cc.md
CC,31,TCC00284,Algoritmos em Grafos,obrigatoria,6,CC-P6,64,dados/grade_cc.md
CC,31,TCC00291,Computação Gráfica,obrigatoria,6,CC-P6,64,dados/grade_cc.md
CC,31,TCC00293,Engenharia de Software II,obrigatoria,6,CC-P6,64,dados/grade_cc.md
CC,31,TCC00305,Linguagens Formais e Teoria da Computação,obrigatoria,6,CC-P6,64,dados/grade_cc.md
CC,31,TCC00307,Programação Científica,obrigatoria,6,CC-P6,64,dados/grade_cc.md
CC,31,TCC00314,Redes de Computadores II,obrigatoria,6,CC-P6,64,dados/grade_cc.md
CC,31,TCC00289,Compiladores,obrigatoria,7,CC-P7,64,dados/grade_cc.md
CC,31,TCC00297,Inteligência Artificial,obrigatoria,7,CC-P7,64,dados/grade_cc.md
CC,31,TCC00298,Interface Homem-Máquina,obrigatoria,7,CC-P7,64,dados/grade_cc.md
CC,31,TCC00315,Sistemas Distribuídos,obrigatoria,7,CC-P7,64,dados/grade_cc.md
CC,31,TCC00318,Pesquisa Operacional,obrigatoria,7,CC-P7,64,dados/grade_cc.md
CC,31,TCC00344,Laboratório de Programação Paralela I,obrigatoria,7,CC-P7,60,dados/grade_cc.md
CC,31,TCC00351,Projeto Final I-A,obrigatoria,7,CC-P7,90,dados/grade_cc.md
CC,31,TCC00290,Computação e Sociedade,obrigatoria,8,CC-P8,32,dados/grade_cc.md
CC,31,TCC00352,Projeto Final II-A,obrigatoria,8,CC-P8,90,dados/grade_cc.md
CC,31,GCI00126,Representação da Informação,optativa,,CC-OPT,60,dados/grade_cc.md
CC,31,GCI00141,Laboratório de Tratamento e Recuperação da Informação,optativa,,CC-OPT,60,dados/grade_cc.md
CC,31,GET00206,Inferência 1,optativa,,CC-OPT,90,dados/grade_cc.md
CC,31,GET00209,Introdução à Estatística,optativa,,CC-OPT,90,dados/grade_cc.md
CC,31,GET00212,Probabilidade 1,optativa,,CC-OPT,90,dados/grade_cc.md
CC,31,GET00213,Probabilidade 2,optativa,,CC-OPT,90,dados/grade_cc.md
CC,31,GFI00159,Física II,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,GFI00161,Física Experimental I,optativa,,CC-OPT,30,dados/grade_cc.md
CC,31,GFI00162,Física Experimental II,optativa,,CC-OPT,30,dados/grade_cc.md
CC,31,GLC00292,Libras I,optativa,,CC-OPT,30,dados/grade_cc.md
CC,31,GSI00433,Comportamento Organizacional,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,GSO00096,Sociologia da Comunicação,optativa,,CC-OPT,60,dados/grade_cc.md
CC,31,GSO00101,Sociologia das Relações Raciais,optativa,,CC-OPT,60,dados/grade_cc.md
CC,31,GSO00109,Sociologia do Trabalho,optativa,,CC-OPT,60,dados/grade_cc.md
CC,31,GSO00111,Sociologia da Pós-Modernidade,optativa,,CC-OPT,60,dados/grade_cc.md
CC,31,SDV00061,Direito e Informática,optativa,,CC-OPT,30,dados/grade_cc.md
CC,31,SDV00143,Propriedade Intelectual,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,STA00141,Modelos de Gestão,optativa,,CC-OPT,60,dados/grade_cc.md
CC,31,STA00168,Desenvolvimento de Pessoas,optativa,,CC-OPT,60,dados/grade_cc.md
CC,31,STA00191,Inteligência de Negócios,optativa,,CC-OPT,60,dados/grade_cc.md
CC,31,STA00267,Modelos de Gestão Contemporânea,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,STE00037,Administração Estratégica Contemporânea,optativa,,CC-OPT,60,dados/grade_cc.md
CC,31,STE00038,Modelos de Gestão Contemporânea,optativa,,CC-OPT,60,dados/grade_cc.md
CC,31,TCC00193,Algoritmos Randômicos e Aproximativos,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00194,Biologia Computacional,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00195,Metaheurísticas,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00196,Otimização Combinatória,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00197,Algoritmos Distribuídos,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00198,Arquiteturas Avançadas,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00199,Laboratório de Banco de Dados,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00200,Mineração de Dados,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00201,Teoria das Categorias,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00202,"Visualização, Simulação e Jogos Digitais",optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00203,Processamento de Imagens,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00205,Linguagens de Programação em Lógica,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00209,Laboratório de Sistemas Distribuídos,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00211,Metodologia da Pesquisa Científica,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00212,Empreendedorismo,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00217,Introdução aos Microcontroladores,optativa,,CC-OPT,60,dados/grade_cc.md
CC,31,TCC00220,Administração de Sistemas de Informação,optativa,,CC-OPT,68,dados/grade_cc.md
CC,31,TCC00229,Tópicos Especiais em Gestão do Conhecimento,optativa,,CC-OPT,68,dados/grade_cc.md
