semestre,grupo,dia,codigo_a,horario_a,turmas_a,codigo_b,horario_b,turmas_b,todos_fixos
2026-1,SI-P1,quinta,TCC00332,18:00-20:00,2026-1-TCC00332-A1,TCC00354,18:00-20:00,2026-1-TCC00354-A1,True
2026-1,SI-P1,quinta,TCC00332,20:00-22:00,2026-1-TCC00332-B1,TCC00354,20:00-22:00,2026-1-TCC00354-B1,True
2026-1,SI-P1,terca,TCC00332,18:00-20:00,2026-1-TCC00332-A1,TCC00354,18:00-20:00,2026-1-TCC00354-A1,True
2026-1,SI-P1,terca,TCC00332,20:00-22:00,2026-1-TCC00332-B1,TCC00354,20:00-22:00,2026-1-TCC00354-B1,True
2026-1,SI-P6,quinta,TCC00336,18:00-20:00,2026-1-TCC00336-Z1,TCC00338,18:00-20:00,2026-1-TCC00338-A1,True
2026-1,SI-P6,terca,TCC00336,18:00-20:00,2026-1-TCC00336-Z1,TCC00338,18:00-20:00,2026-1-TCC00338-A1,True
2026-2,SI-P1,quinta,TCC00332,18:00-20:00,2026-2-TCC00332-B1,TCC00354,18:00-20:00,2026-2-TCC00354-A1,True
2026-2,SI-P1,quinta,TCC00332,20:00-22:00,2026-2-TCC00332-A1,TCC00354,20:00-22:00,2026-2-TCC00354-B1,True
2026-2,SI-P1,terca,TCC00332,18:00-20:00,2026-2-TCC00332-B1,TCC00354,18:00-20:00,2026-2-TCC00354-A1,True
2026-2,SI-P1,terca,TCC00332,20:00-22:00,2026-2-TCC00332-A1,TCC00354,20:00-22:00,2026-2-TCC00354-B1,True
