semestre,grupo,codigos,escolha_sem_choque,turmas
2026-1,CC-P1,3,True,2026-1-TCC00296-A1;2026-1-TCC00308-A1;2026-1-TCC00346-AA
2026-1,CC-P2,2,True,2026-1-TCC00301-AA;2026-1-TCC00347-A1
2026-1,CC-P3,3,True,2026-1-TCC00286-A1;2026-1-TCC00348-A1;2026-1-TCC00328-A1
2026-1,CC-P4,5,True,2026-1-TCC00287-A1;2026-1-TCC00292-A1;2026-1-TCC00304-A1;2026-1-TCC00306-A1;2026-1-TCC00316-A1
2026-1,CC-P5,6,True,2026-1-TCC00226-A1;2026-1-TCC00288-A1;2026-1-TCC00312-A1;2026-1-TCC00313-A1;2026-1-TCC00349-A1;2026-1-TCC00285-A1
2026-1,CC-P6,6,True,2026-1-TCC00284-A1;2026-1-TCC00291-A1;2026-1-TCC00293-A1;2026-1-TCC00305-A1;2026-1-TCC00307-B1A1;2026-1-TCC00314-A1
2026-1,CC-P7,6,True,2026-1-TCC00289-A1;2026-1-TCC00297-A1;2026-1-TCC00298-A1;2026-1-TCC00315-A1;2026-1-TCC00318-A1;2026-1-TCC00344-AA
2026-1,CC-P8,1,True,2026-1-TCC00290-A1
2026-1,SI-P1,5,True,2026-1-CGI00004-A1;2026-1-TCC00332-A1;2026-1-TCC00354-B1;2026-1-TCC00355-EA;2026-1-TCC00366-A1
2026-1,SI-P2,1,True,2026-1-TCC00356-A1
2026-1,SI-P3,2,True,2026-1-TCC00331-A1;2026-1-TCC00358-A1
2026-1,SI-P4,3,True,2026-1-TCC00334-A1;2026-1-TCC00357-A1;2026-1-TCC00359-A1
2026-1,SI-P5,4,True,2026-1-TCC00225-A1;2026-1-TCC00335-A1;2026-1-TCC00337-A1;2026-1-TCC00362-A1
2026-1,SI-P6,4,True,2026-1-TCC00338-A1;2026-1-TCC00360-A1;2026-1-TCC00361-A1;2026-1-TCC00336-A1
2026-1,SI-P7,4,True,2026-1-TCC00330-A1;2026-1-TCC00341-A1;2026-1-TCC00363-A1;2026-1-TCC00368-A1
2026-1,SI-P8,3,True,2026-1-TCC00222-A1;2026-1-TCC00324-A1;2026-1-TCC00365-A1
2026-2,CC-P1,3,True,2026-2-TCC00296-A1;2026-2-TCC00308-A1;2026-2-TCC00346-AA
2026-2,CC-P2,2,True,2026-2-TCC00301-AA;2026-2-TCC00347-A1
2026-2,CC-P3,3,True,2026-2-TCC00286-A1;2026-2-TCC00328-A1;2026-2-TCC00348-A1
2026-2,CC-P4,5,True,2026-2-TCC00287-A1;2026-2-TCC00292-A1;2026-2-TCC00304-A1;2026-2-TCC00306-A1;2026-2-TCC00316-A1
2026-2,CC-P5,6,True,2026-2-TCC00226-A1;2026-2-TCC00288-A1;2026-2-TCC00312-A1;2026-2-TCC00313-A1;2026-2-TCC00349-A1;2026-2-TCC00285-A1
2026-2,CC-P6,6,True,2026-2-TCC00284-A1;2026-2-TCC00291-A1;2026-2-TCC00293-A1;2026-2-TCC00307-A1;2026-2-TCC00314-A1;2026-2-TCC00305-A1
2026-2,CC-P7,6,True,2026-2-TCC00289-A1;2026-2-TCC00297-A1;2026-2-TCC00298-A1;2026-2-TCC00315-A1;2026-2-TCC00318-A1;2026-2-TCC00344-A1
2026-2,CC-P8,1,True,2026-2-TCC00290-A1
2026-2,SI-P1,4,True,2026-2-TCC00332-A1;2026-2-TCC00354-A1;2026-2-TCC00355-E-A;2026-2-TCC00366-A1
2026-2,SI-P2,1,True,2026-2-TCC00356-A1
2026-2,SI-P3,2,True,2026-2-TCC00331-A1;2026-2-TCC00358-A1
2026-2,SI-P4,3,True,2026-2-TCC00334-A1;2026-2-TCC00357-A1;2026-2-TCC00359-A1
2026-2,SI-P5,4,True,2026-2-TCC00225-A1;2026-2-TCC00335-A1;2026-2-TCC00337-A1;2026-2-TCC00362-A1
2026-2,SI-P6,4,True,2026-2-TCC00336-A1;2026-2-TCC00338-A1;2026-2-TCC00360-A1;2026-2-TCC00361-A1
2026-2,SI-P7,4,True,2026-2-TCC00330-A1;2026-2-TCC00341-A1;2026-2-TCC00363-A1;2026-2-TCC00368-A1
2026-2,SI-P8,3,True,2026-2-TCC00222-A1;2026-2-TCC00324-A1;2026-2-TCC00365-A1
