setor,semestre,encontros,duracoes_min,dias,turmas_observadas,codigos,fonte
ALG.CPX.,2025-1,1,240,sexta,2,TCC00284;TCC00368,padroes observados na planilha QH 2025; proxy nao oficial
ALG.CPX.,2025-1,2,120;120,terca;quinta,5,TCC00285;TCC00318;TCC00354;TCC00357,padroes observados na planilha QH 2025; proxy nao oficial
ALG.CPX.,2025-2,1,240,sexta,1,TCC00318,padroes observados na planilha QH 2025; proxy nao oficial
ALG.CPX.,2025-2,2,120;120,terca;quinta,5,TCC00284;TCC00285;TCC00354;TCC00368,padroes observados na planilha QH 2025; proxy nao oficial
ARQ.SO.,2025-1,1,240,quinta,2,TCC00358,padroes observados na planilha QH 2025; proxy nao oficial
ARQ.SO.,2025-1,2,120;120,segunda;quarta,2,TCC00344;TCC00362,padroes observados na planilha QH 2025; proxy nao oficial
ARQ.SO.,2025-1,2,120;120,terca;quinta,6,TCC00286;TCC00296;TCC00315;TCC00316,padroes observados na planilha QH 2025; proxy nao oficial
ARQ.SO.,2025-2,1,240,quinta,2,TCC00358,padroes observados na planilha QH 2025; proxy nao oficial
ARQ.SO.,2025-2,2,120;120,segunda;quarta,1,TCC00344,padroes observados na planilha QH 2025; proxy nao oficial
ARQ.SO.,2025-2,1,240,terca,2,TCC00300;TCC00362,padroes observados na planilha QH 2025; proxy nao oficial
ARQ.SO.,2025-2,2,120;120,terca;quinta,6,TCC00286;TCC00296;TCC00315;TCC00316,padroes observados na planilha QH 2025; proxy nao oficial
B.D.,2025-1,2,120;120,segunda;quarta,4,TCC00287;TCC00288;TCC00334;TCC00336,padroes observados na planilha QH 2025; proxy nao oficial
B.D.,2025-1,2,120;120,terca;quinta,1,TCC00335,padroes observados na planilha QH 2025; proxy nao oficial
B.D.,2025-2,2,120;120,quarta;sexta,1,TCC00334,padroes observados na planilha QH 2025; proxy nao oficial
B.D.,2025-2,2,120;120,segunda;quarta,4,TCC00287;TCC00288;TCC00335;TCC00336,padroes observados na planilha QH 2025; proxy nao oficial
COMP.NUM.,2025-1,2,120;120,terca;quinta,2,TCC00306;TCC00307,padroes observados na planilha QH 2025; proxy nao oficial
COMP.NUM.,2025-2,2,120;120,terca;quinta,2,TCC00306;TCC00307,padroes observados na planilha QH 2025; proxy nao oficial
COMP.VIS.JOGOS,2025-1,2,120;120,segunda;quarta,2,TCC00291;TCC00360,padroes observados na planilha QH 2025; proxy nao oficial
COMP.VIS.JOGOS,2025-1,2,120;120,terca;quinta,1,TCC00301,padroes observados na planilha QH 2025; proxy nao oficial
COMP.VIS.JOGOS,2025-2,2,120;120,segunda;quarta,2,TCC00291;TCC00360,padroes observados na planilha QH 2025; proxy nao oficial
COMP.VIS.JOGOS,2025-2,2,120;120,terca;quinta,1,TCC00301,padroes observados na planilha QH 2025; proxy nao oficial
ENG.SOFT.,2025-1,2,120;120,segunda;quarta,6,TCC00226;TCC00293;TCC00312;TCC00328;TCC00365,padroes observados na planilha QH 2025; proxy nao oficial
ENG.SOFT.,2025-1,1,240,sexta,3,TCC00292;TCC00357;TCC00361,padroes observados na planilha QH 2025; proxy nao oficial
ENG.SOFT.,2025-1,2,120;120,terca;quinta,3,TCC00225;TCC00338;TCC00363,padroes observados na planilha QH 2025; proxy nao oficial
ENG.SOFT.,2025-2,1,240,sabado,1,TCC00361,padroes observados na planilha QH 2025; proxy nao oficial
ENG.SOFT.,2025-2,1,240,segunda,1,TCC00357,padroes observados na planilha QH 2025; proxy nao oficial
ENG.SOFT.,2025-2,2,120;120,segunda;quarta,9,TCC00225;TCC00226;TCC00292;TCC00293;TCC00312;TCC00328;TCC00365,padroes observados na planilha QH 2025; proxy nao oficial
ENG.SOFT.,2025-2,2,120;120,terca;quinta,2,TCC00338;TCC00363,padroes observados na planilha QH 2025; proxy nao oficial
ESTR.PROG.,2025-1,2,120;120,segunda;quarta,9,TCC00308;TCC00331;TCC00355;TCC00356;TCC00366,padroes observados na planilha QH 2025; proxy nao oficial
