sala_origem,sala_destino,distancia
202,202,0
202,204,1
202,206,1
202,213,2
202,215,2
202,217,2
202,302,1
202,306,1
202,308,1
202,313,1
202,317,1
202,319,1
202,321,1
202,404B,2
202,L302,4
202,L303,4
202,L304,4
202,L305,4
202,L306,4
202,L307,4
204,202,1
204,204,0
204,206,1
204,213,2
204,215,2
204,217,2
204,302,1
204,306,1
204,308,1
204,313,1
204,317,1
204,319,1
204,321,1
204,404B,2
204,L302,4
204,L303,4
204,L304,4
204,L305,4
204,L306,4
204,L307,4
206,202,1
206,204,1
206,206,0
206,213,2
206,215,2
206,217,2
206,302,1
206,306,1
206,308,1
206,313,1
206,317,1
206,319,1
206,321,1
206,404B,2
206,L302,4
206,L303,4
206,L304,4
206,L305,4
206,L306,4
206,L307,4
213,202,2
213,204,2
213,206,2
213,213,0
213,215,1
213,217,1
213,302,1
213,306,1
213,308,1
213,313,1
213,317,1
213,319,1
213,321,1
213,404B,2
213,L302,4
213,L303,4
213,L304,4
213,L305,4
213,L306,4
213,L307,4
215,202,2
215,204,2
215,206,2
215,213,1
215,215,0
215,217,1
215,302,1
215,306,1
215,308,1
215,313,1
215,317,1
215,319,1
215,321,1
215,404B,2
215,L302,4
215,L303,4
215,L304,4
215,L305,4
215,L306,4
215,L307,4
217,202,2
217,204,2
217,206,2
217,213,1
217,215,1
217,217,0
217,302,1
217,306,1
217,308,1
217,313,1
217,317,1
217,319,1
217,321,1
217,404B,2
217,L302,4
217,L303,4
217,L304,4
217,L305,4
217,L306,4
217,L307,4
302,202,1
302,204,1
302,206,1
302,213,1
302,215,1
302,217,1
302,302,0
302,306,1
302,308,1
302,313,2
302,317,2
302,319,2
302,321,2
302,404B,1
302,L302,3
302,L303,3
302,L304,3
302,L305,3
302,L306,3
302,L307,3
306,202,1
306,204,1
306,206,1
306,213,1
306,215,1
306,217,1
306,302,1
306,306,0
306,308,1
306,313,2
306,317,2
306,319,2
306,321,2
306,404B,1
306,L302,3
306,L303,3
306,L304,3
306,L305,3
306,L306,3
306,L307,3
308,202,1
308,204,1
308,206,1
308,213,1
308,215,1
308,217,1
308,302,1
308,306,1
308,308,0
308,313,2
308,317,2
308,319,2
308,321,2
308,404B,1
308,L302,3
308,L303,3
308,L304,3
308,L305,3
308,L306,3
308,L307,3
313,202,1
313,204,1
313,206,1
313,213,1
313,215,1
313,217,1
313,302,2
313,306,2
313,308,2
313,313,0
313,317,1
313,319,1
313,321,1
313,404B,1
313,L302,3
313,L303,3
313,L304,3
313,L305,3
313,L306,3
313,L307,3
317,202,1
317,204,1
317,206,1
317,213,1
317,215,1
317,217,1
317,302,2
317,306,2
317,308,2
317,313,1
317,317,0
317,319,1
317,321,1
317,404B,1
317,L302,3
317,L303,3
317,L304,3
317,L305,3
317,L306,3
317,L307,3
319,202,1
319,204,1
319,206,1
319,213,1
319,215,1
319,217,1
319,302,2
319,306,2
319,308,2
319,313,1
319,317,1
319,319,0
319,321,1
319,404B,1
319,L302,3
319,L303,3
319,L304,3
319,L305,3
319,L306,3
319,L307,3
321,202,1
321,204,1
321,206,1
321,213,1
321,215,1
321,217,1
321,302,2
321,306,2
321,308,2
321,313,1
321,317,1
321,319,1
321,321,0
321,404B,1
321,L302,3
321,L303,3
321,L304,3
321,L305,3
321,L306,3
321,L307,3
404B,202,2
404B,204,2
404B,206,2
404B,213,2
404B,215,2
404B,217,2
404B,302,1
404B,306,1
404B,308,1
404B,313,1
404B,317,1
404B,319,1
404B,321,1
404B,404B,0
404B,L302,4
404B,L303,4
404B,L304,4
404B,L305,4
404B,L306,4
404B,L307,4
L302,202,4
L302,204,4
L302,206,4
L302,213,4
L302,215,4
L302,217,4
L302,302,3
L302,306,3
L302,308,3
L302,313,3
L302,317,3
L302,319,3
L302,321,3
L302,404B,4
L302,L302,0
L302,L303,2
L302,L304,1
L302,L305,2
L302,L306,1
L302,L307,2
L303,202,4
L303,204,4
L303,206,4
L303,213,4
L303,215,4
L303,217,4
L303,302,3
L303,306,3
L303,308,3
L303,313,3
L303,317,3
L303,319,3
L303,321,3
L303,404B,4
L303,L302,2
L303,L303,0
L303,L304,2
L303,L305,1
L303,L306,2
L303,L307,1
L304,202,4
L304,204,4
L304,206,4
L304,213,4
L304,215,4
L304,217,4
L304,302,3
L304,306,3
L304,308,3
L304,313,3
L304,317,3
L304,319,3
L304,321,3
L304,404B,4
L304,L302,1
L304,L303,2
L304,L304,0
L304,L305,2
L304,L306,1
L304,L307,2
L305,202,4
L305,204,4
L305,206,4
L305,213,4
L305,215,4
L305,217,4
L305,302,3
L305,306,3
L305,308,3
L305,313,3
L305,317,3
L305,319,3
L305,321,3
L305,404B,4
L305,L302,2
L305,L303,1
L305,L304,2
L305,L305,0
L305,L306,2
L305,L307,1
L306,202,4
L306,204,4
L306,206,4
L306,213,4
L306,215,4
L306,217,4
L306,302,3
L306,306,3
L306,308,3
L306,313,3
L306,317,3
L306,319,3
L306,321,3
L306,404B,4
L306,L302,1
L306,L303,2
L306,L304,1
L306,L305,2
L306,L306,0
L306,L307,2
L307,202,4
L307,204,4
L307,206,4
L307,213,4
L307,215,4
L307,217,4
L307,302,3
L307,306,3
L307,308,3
L307,313,3
L307,317,3
L307,319,3
L307,321,3
L307,404B,4
L307,L302,2
L307,L303,1
L307,L304,2
L307,L305,1
L307,L306,2
L307,L307,0
