turma_id,semestre,codigo,turma,encontro,dia,inicio,fim,sala,horario_original,sala_original,valor_original,pagina_pdf,arquivo_origem
2026-1-TCC00284-A1,2026-1,TCC00284,A1,1,terca,07:00,09:00,206,07:00-09:00,SALA 206,07:00-09:00 SALA 206,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00284-A1,2026-1,TCC00284,A1,2,quinta,07:00,09:00,206,07:00-09:00,SALA 206,07:00-09:00 SALA 206,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00285-A1,2026-1,TCC00285,A1,1,terca,11:00,13:00,213,11:00-13:00,SALA 213,11:00-13:00 SALA 213,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00285-A1,2026-1,TCC00285,A1,2,quinta,11:00,13:00,213,11:00-13:00,SALA 213,11:00-13:00 SALA 213,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00285-B1,2026-1,TCC00285,B1,1,terca,11:00,13:00,217,11:00-13:00,SALA 217,11:00-13:00 SALA 217,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00285-B1,2026-1,TCC00285,B1,2,quinta,11:00,13:00,217,11:00-13:00,SALA 217,11:00-13:00 SALA 217,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00286-A1,2026-1,TCC00286,A1,1,terca,09:00,11:00,206,09:00-11:00,SALA 206,09:00-11:00 SALA 206,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00286-A1,2026-1,TCC00286,A1,2,quinta,09:00,11:00,206,09:00-11:00,SALA 206,09:00-11:00 SALA 206,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00349-A1,2026-1,TCC00349,A1,1,terca,09:00,11:00,213,09:00-11:00,SALA 213,09:00-11:00 SALA 213,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00349-A1,2026-1,TCC00349,A1,2,quinta,09:00,11:00,213,09:00-11:00,SALA 213,09:00-11:00 SALA 213,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00287-A1,2026-1,TCC00287,A1,1,terca,07:00,09:00,217,07:00-09:00,SALA 217,07:00-09:00 SALA 217,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00287-A1,2026-1,TCC00287,A1,2,quinta,07:00,09:00,217,07:00-09:00,SALA 217,07:00-09:00 SALA 217,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00288-A1,2026-1,TCC00288,A1,1,segunda,07:00,09:00,404B,07:00-09:00,SALA 404B,07:00-09:00 SALA 404B,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00288-A1,2026-1,TCC00288,A1,2,quarta,07:00,09:00,404B,07:00-09:00,SALA 404B,07:00-09:00 SALA 404B,1,dados/brutos/QH-2026-1.pdf
2026-1-TCC00336-A1,2026-1,TCC00336,A1,1,segunda,20:00,22:00,L302,20:00-22:00,LAB. 302,20:00-22:00 LAB. 302,1,dados/brutos/QH-2026-1.pdf
