turma_id,semestre,codigo,turma,encontro,dia,inicio,fim,sala,valor_original,requer_laboratorio
2026-1-CGI00004-A1,2026-1,CGI00004,A1,1,sexta,18:00,22:00,215,18:00-22:00 SALA 215,
2026-1-TCC00195-A1,2026-1,TCC00195,A1,1,terca,11:00,13:00,315,11:00-13:00 SALA 315,
2026-1-TCC00195-A1,2026-1,TCC00195,A1,2,quinta,11:00,13:00,315,11:00-13:00 SALA 315,
2026-1-TCC00205-A1,2026-1,TCC00205,A1,1,quarta,16:00,20:00,306,16:00-20:00 SALA 306,
2026-1-TCC00222-A1,2026-1,TCC00222,A1,1,quinta,18:00,22:00,213,18:00-22:00 SALA 213,
2026-1-TCC00225-A1,2026-1,TCC00225,A1,1,terca,18:00,20:00,302,18:00-20:00 SALA 302,
2026-1-TCC00225-A1,2026-1,TCC00225,A1,2,quinta,18:00,20:00,302,18:00-20:00 SALA 302,
2026-1-TCC00226-A1,2026-1,TCC00226,A1,1,segunda,09:00,11:00,L302,09:00-11:00 LAB. 302,
2026-1-TCC00226-A1,2026-1,TCC00226,A1,2,quarta,09:00,11:00,L302,09:00-11:00 LAB. 302,
2026-1-TCC00230-A1,2026-1,TCC00230,A1,1,sexta,09:00,13:00,217,09:00-13:00 SALA 217,
2026-1-TCC00241-A1,2026-1,TCC00241,A1,1,terca,14:00,16:00,313,14:00-16:00 SALA 313,
2026-1-TCC00241-A1,2026-1,TCC00241,A1,2,quinta,14:00,16:00,313,14:00-16:00 SALA 313,
2026-1-TCC00242-A1,2026-1,TCC00242,A1,1,terca,18:00,20:00,308,18:00-20:00 SALA 308,
2026-1-TCC00242-A1,2026-1,TCC00242,A1,2,quinta,18:00,20:00,308,18:00-20:00 SALA 308,
2026-1-TCC00244-A1,2026-1,TCC00244,A1,1,terca,07:00,09:00,204,07:00-09:00 SALA 204,
2026-1-TCC00244-A1,2026-1,TCC00244,A1,2,quinta,07:00,09:00,204,07:00-09:00 SALA 204,
2026-1-TCC00250-A1,2026-1,TCC00250,A1,1,terca,11:00,13:00,302,11:00-13:00 SALA 302,
2026-1-TCC00250-A1,2026-1,TCC00250,A1,2,quinta,11:00,13:00,302,11:00-13:00 SALA 302,
2026-1-TCC00251-A1,2026-1,TCC00251,A1,1,segunda,07:00,09:00,215,07:00-09:00 SALA 215,
2026-1-TCC00251-A1,2026-1,TCC00251,A1,2,quarta,07:00,09:00,215,07:00-09:00 SALA 215,
2026-1-TCC00253-A1,2026-1,TCC00253,A1,1,sexta,18:00,22:00,204,18:00-22:00 SALA 204,
2026-1-TCC00259-A1,2026-1,TCC00259,A1,1,terca,14:00,16:00,306,14:00-16:00 SALA 306,
2026-1-TCC00259-A1,2026-1,TCC00259,A1,2,quinta,14:00,16:00,306,14:00-16:00 SALA 306,
2026-1-TCC00260-A1,2026-1,TCC00260,A1,1,terca,09:00,11:00,304,09:00-11:00 SALA 304,
2026-1-TCC00260-A1,2026-1,TCC00260,A1,2,quinta,09:00,11:00,304,09:00-11:00 SALA 304,
2026-1-TCC00271-A1,2026-1,TCC00271,A1,1,segunda,16:00,18:00,L303,16:00-18:00 LAB. 303,
2026-1-TCC00271-A1,2026-1,TCC00271,A1,2,quarta,16:00,18:00,317,16:00-18:00 SALA 317,
2026-1-TCC00280-A1,2026-1,TCC00280,A1,1,segunda,14:00,18:00,215,14:00-18:00 SALA 215,
2026-1-TCC00284-A1,2026-1,TCC00284,A1,1,terca,07:00,09:00,206,07:00-09:00 SALA 206,
2026-1-TCC00284-A1,2026-1,TCC00284,A1,2,quinta,07:00,09:00,206,07:00-09:00 SALA 206,
2026-1-TCC00285-A1,2026-1,TCC00285,A1,1,terca,11:00,13:00,213,11:00-13:00 SALA 213,
2026-1-TCC00285-A1,2026-1,TCC00285,A1,2,quinta,11:00,13:00,213,11:00-13:00 SALA 213,
2026-1-TCC00285-B1,2026-1,TCC00285,B1,1,terca,11:00,13:00,217,11:00-13:00 SALA 217,
2026-1-TCC00285-B1,2026-1,TCC00285,B1,2,quinta,11:00,13:00,217,11:00-13:00 SALA 217,
2026-1-TCC00286-A1,2026-1,TCC00286,A1,1,terca,09:00,11:00,206,09:00-11:00 SALA 206,
2026-1-TCC00286-A1,2026-1,TCC00286,A1,2,quinta,09:00,11:00,206,09:00-11:00 SALA 206,
2026-1-TCC00287-A1,2026-1,TCC00287,A1,1,terca,07:00,09:00,217,07:00-09:00 SALA 217,
2026-1-TCC00287-A1,2026-1,TCC00287,A1,2,quinta,07:00,09:00,217,07:00-09:00 SALA 217,
2026-1-TCC00288-A1,2026-1,TCC00288,A1,1,segunda,07:00,09:00,404B,07:00-09:00 SALA 404B,
2026-1-TCC00288-A1,2026-1,TCC00288,A1,2,quarta,07:00,09:00,404B,07:00-09:00 SALA 404B,
2026-1-TCC00289-A1,2026-1,TCC00289,A1,1,segunda,09:00,11:00,206,09:00-11:00 SALA 206,
2026-1-TCC00289-A1,2026-1,TCC00289,A1,2,quarta,09:00,11:00,206,09:00-11:00 SALA 206,
2026-1-TCC00290-A1,2026-1,TCC00290,A1,1,quinta,11:00,13:00,215,11:00-13:00 SALA 215,
2026-1-TCC00291-A1,2026-1,TCC00291,A1,1,segunda,11:00,13:00,202,11:00-13:00 SALA 202,
2026-1-TCC00291-A1,2026-1,TCC00291,A1,2,quarta,11:00,13:00,202,11:00-13:00 SALA 202,
2026-1-TCC00292-A1,2026-1,TCC00292,A1,1,segunda,09:00,11:00,215,09:00-11:00 SALA 215,
2026-1-TCC00292-A1,2026-1,TCC00292,A1,2,quarta,09:00,11:00,215,09:00-11:00 SALA 215,
2026-1-TCC00293-A1,2026-1,TCC00293,A1,1,segunda,09:00,11:00,213,09:00-11:00 SALA 213,
2026-1-TCC00293-A1,2026-1,TCC00293,A1,2,quarta,09:00,11:00,213,09:00-11:00 SALA 213,
2026-1-TCC00296-A1,2026-1,TCC00296,A1,1,terca,14:00,16:00,213,14:00-16:00 SALA 213,
2026-1-TCC00296-A1,2026-1,TCC00296,A1,2,quinta,14:00,16:00,213,14:00-16:00 SALA 213,
2026-1-TCC00296-B1,2026-1,TCC00296,B1,1,terca,07:00,09:00,202,07:00-09:00 SALA 202,
2026-1-TCC00296-B1,2026-1,TCC00296,B1,2,quinta,07:00,09:00,202,07:00-09:00 SALA 202,
2026-1-TCC00297-A1,2026-1,TCC00297,A1,1,terca,07:00,09:00,213,07:00-09:00 SALA 213,
2026-1-TCC00297-A1,2026-1,TCC00297,A1,2,quinta,07:00,09:00,213,07:00-09:00 SALA 213,
2026-1-TCC00298-A1,2026-1,TCC00298,A1,1,segunda,11:00,13:00,217,11:00-13:00 SALA 217,
2026-1-TCC00298-A1,2026-1,TCC00298,A1,2,quarta,11:00,13:00,217,11:00-13:00 SALA 217,
2026-1-TCC00301-AA,2026-1,TCC00301,AA,1,terca,11:00,13:00,L305,11:00-13:00 LAB. 305,
2026-1-TCC00301-BA,2026-1,TCC00301,BA,1,quinta,11:00,13:00,L305,11:00-13:00 LAB. 305,
2026-1-TCC00304-A1,2026-1,TCC00304,A1,1,segunda,11:00,13:00,206,11:00-13:00 SALA 206,
2026-1-TCC00304-A1,2026-1,TCC00304,A1,2,quarta,11:00,13:00,206,11:00-13:00 SALA 206,
2026-1-TCC00305-A1,2026-1,TCC00305,A1,1,segunda,07:00,09:00,206,07:00-09:00 SALA 206,
2026-1-TCC00305-A1,2026-1,TCC00305,A1,2,quarta,07:00,09:00,206,07:00-09:00 SALA 206,
2026-1-TCC00306-A1,2026-1,TCC00306,A1,1,terca,09:00,11:00,302,09:00-11:00 SALA 302,
2026-1-TCC00306-A1,2026-1,TCC00306,A1,2,quinta,09:00,11:00,302,09:00-11:00 SALA 302,
2026-1-TCC00307-B1A1,2026-1,TCC00307,A1,1,terca,11:00,13:00,404B,11:00-13:00 SALA 404B,
2026-1-TCC00307-B1A1,2026-1,TCC00307,A1,2,quinta,11:00,13:00,404B,11:00-13:00 SALA 404B,
2026-1-TCC00308-A1,2026-1,TCC00308,A1,1,segunda,16:00,18:00,308,16:00-18:00 SALA 308,
2026-1-TCC00308-A1,2026-1,TCC00308,A1,2,quarta,16:00,18:00,L306,16:00-18:00 LAB. 306,
