codigo,tipos_cc,periodos_cc,grupos_cc,tipos_si,periodos_si,grupos_si,oferta_compartilhada_inferida,criterio
CGI00006,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
GCI00126,optativa,,CC-OPT,obrigatoria,5,SI-P5,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
GLC00292,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
GSI00433,optativa,,CC-OPT,obrigatoria,2,SI-P2,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
SDV00143,optativa,,CC-OPT,obrigatoria,3,SI-P3,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
STA00168,optativa,,CC-OPT,obrigatoria,4,SI-P4,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
STA00191,optativa,,CC-OPT,obrigatoria,8,SI-P8,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
STA00267,optativa,,CC-OPT,obrigatoria,2,SI-P2,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00211,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00212,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00217,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00229,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00230,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00234,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00235,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00236,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00237,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00238,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00239,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00241,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00242,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00243,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00244,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00245,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00246,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00247,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00248,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00249,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00250,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
