algoritmo,seed,tempo_segundos,avaliacoes,score,hard_total,deficit_h12,hard_conflitos_sala,hard_conflitos_professor,hard_conflitos_curriculares,hard_capacidade_insuficiente,hard_recursos_incompativeis,hard_descanso_insuficiente,hard_carga_anual_insuficiente,soft_dias_trabalhados,soft_janelas,soft_desperdicio_capacidade,soft_rodizio_semestre,soft_preferencia_priorizada
baseline,-,0,1,27003758.716666665,27,14.0,3,0,10,0,0,0,14,233,46,3521.0,38,-79.28333333333335
guloso,-,9.214425,2423,12002755.95,12,2.0,0,0,10,0,0,0,2,215,36,2548.0,33,-76.05
sa_referencia,101,6.00916,1500,11003580.35,11,1.0,0,0,10,0,0,0,1,231,79,3308.0,31,-68.64999999999999
sa_referencia,202,5.858445,1500,10004332.95,10,0.0,0,0,10,0,0,0,0,232,79,4065.0,29,-72.05
sa_referencia,303,6.005954,1500,10003723.466666667,10,0.0,0,0,10,0,0,0,0,230,80,3453.0,29,-68.53333333333335
sa_referencia,404,5.960511,1500,10004230.583333334,10,0.0,0,0,10,0,0,0,0,228,116,3925.0,27,-65.41666666666667
sa_referencia,505,5.9367,1500,11004422.433333334,11,1.0,0,0,10,0,0,0,1,229,90,4139.0,29,-64.56666666666668
sa_optframe,101,10.054241,471,12002755.95,12,2.0,0,0,10,0,0,0,2,215,36,2548.0,33,-76.05
sa_optframe,202,10.049095,460,12002755.95,12,2.0,0,0,10,0,0,0,2,215,36,2548.0,33,-76.05
sa_optframe,303,10.091392,456,10004080.75,10,0.0,0,0,10,0,0,0,0,237,107,3777.0,30,-70.25
sa_optframe,404,10.057474,444,12002755.95,12,2.0,0,0,10,0,0,0,2,215,36,2548.0,33,-76.05
sa_optframe,505,10.148017,422,11003305.533333333,11,1.0,0,0,10,0,0,0,1,224,89,3034.0,30,-71.46666666666667
