turma_id,semestre,codigo,turma,dia,inicio,fim,sala,valor_original,sala_fonte
2025-1-TCC00284-A1,2025-1,TCC00284,A1,sexta,09:00,13:00,206,"9/13
206",original
2025-1-TCC00285-A1,2025-1,TCC00285,A1,terca,11:00,13:00,215,"11/13
215",original
2025-1-TCC00285-A1,2025-1,TCC00285,A1,quinta,11:00,13:00,215,"11/13
215",original
2025-1-TCC00286-A1,2025-1,TCC00286,A1,terca,09:00,11:00,302,09/11 302,original
2025-1-TCC00286-A1,2025-1,TCC00286,A1,quinta,09:00,11:00,302,09/11 302,original
2025-1-TCC00286-B1,2025-1,TCC00286,B1,terca,09:00,11:00,308,09/11 308,original
2025-1-TCC00286-B1,2025-1,TCC00286,B1,quinta,09:00,11:00,308,09/11 308,original
2025-1-TCC00349-A1,2025-1,TCC00349,A1,terca,09:00,11:00,404B,09/11 404B,original
2025-1-TCC00349-A1,2025-1,TCC00349,A1,quinta,09:00,11:00,404B,09/11 404B,original
2025-1-TCC00336-A1,2025-1,TCC00336,A1,segunda,20:00,22:00,321,"20/22
321",original
2025-1-TCC00336-A1,2025-1,TCC00336,A1,quarta,20:00,22:00,321,"20/22
321",original
2025-1-TCC00287-A1,2025-1,TCC00287,A1,segunda,09:00,11:00,321,"09/11
321",original
2025-1-TCC00287-A1,2025-1,TCC00287,A1,quarta,09:00,11:00,321,"09/11
321",original
2025-1-TCC00288-A1,2025-1,TCC00288,A1,segunda,07:00,09:00,L302,"07/09
L302",original
2025-1-TCC00288-A1,2025-1,TCC00288,A1,quarta,07:00,09:00,L302,"07/09
L302",original
2025-1-TCC00289-A1,2025-1,TCC00289,A1,segunda,09:00,11:00,215,"09/11
215",original
2025-1-TCC00289-A1,2025-1,TCC00289,A1,quarta,09:00,11:00,215,"09/11
215",original
2025-1-TCC00290-A1,2025-1,TCC00290,A1,quinta,11:00,13:00,217,"11/13
217",original
2025-1-TCC00222-A1,2025-1,TCC00222,A1,quinta,18:00,22:00,213,"18/22
213",original
2025-1-TCC00291-A1,2025-1,TCC00291,A1,segunda,11:00,13:00,319,"11/13
319",original
2025-1-TCC00291-A1,2025-1,TCC00291,A1,quarta,11:00,13:00,319,"11/13
319",original
2025-1-TCC00226-A1,2025-1,TCC00226,A1,segunda,09:00,11:00,L302,09/11 L302,original
2025-1-TCC00226-A1,2025-1,TCC00226,A1,quarta,09:00,11:00,L302,09/11 L302,original
2025-1-TCC00226-X1,2025-1,TCC00226,X1,segunda,11:00,13:00,L302,11/13 L302,original
2025-1-TCC00226-X1,2025-1,TCC00226,X1,quarta,11:00,13:00,L302,11/13 L302,original
2025-1-TCC00368-A1,2025-1,TCC00368,A1,sexta,18:00,22:00,217,"18/22
217",original
2025-1-TCC00225-A1,2025-1,TCC00225,A1,terca,18:00,20:00,217,"18/20
217",original
2025-1-TCC00225-A1,2025-1,TCC00225,A1,quinta,18:00,20:00,217,"18/20
217",original
2025-1-TCC00292-A1,2025-1,TCC00292,A1,sexta,09:00,13:00,404B,"09/13
404B",original
2025-1-TCC00293-A1,2025-1,TCC00293,A1,segunda,09:00,11:00,217,09/11 217,original
2025-1-TCC00293-A1,2025-1,TCC00293,A1,quarta,09:00,11:00,217,09/11 217,original
2025-1-TCC00348-A1,2025-1,TCC00348,A1,terca,11:00,13:00,204,"11/13
204",original
2025-1-TCC00348-A1,2025-1,TCC00348,A1,quinta,11:00,13:00,204,"11/13
204",original
2025-1-TCC00348-B1,2025-1,TCC00348,B1,terca,11:00,13:00,319,"11/13
319",original
2025-1-TCC00348-B1,2025-1,TCC00348,B1,quinta,11:00,13:00,319,"11/13
319",original
2025-1-TCC00331-A1,2025-1,TCC00331,A1,segunda,18:00,20:00,404B,"18/20
404B",original
2025-1-TCC00331-A1,2025-1,TCC00331,A1,quarta,18:00,20:00,L306,"18/20
L306",original
2025-1-TCC00331-X1,2025-1,TCC00331,X1,terca,20:00,22:00,308,"20/22
308",original
2025-1-TCC00331-X1,2025-1,TCC00331,X1,quinta,20:00,22:00,L306,"20/22
L306",original
2025-1-TCC00296-A1,2025-1,TCC00296,A1,terca,14:00,16:00,302,"14/16
302",original
2025-1-TCC00296-A1,2025-1,TCC00296,A1,quinta,14:00,16:00,302,"14/16
302",original
2025-1-TCC00296-B1,2025-1,TCC00296,B1,terca,14:00,16:00,321,"14/16
321",original
2025-1-TCC00296-B1,2025-1,TCC00296,B1,quinta,14:00,16:00,321,"14/16
321",original
2025-1-TCC00332-A1,2025-1,TCC00332,A1,terca,18:00,20:00,319,"18/20
319",original
2025-1-TCC00332-A1,2025-1,TCC00332,A1,quinta,18:00,20:00,319,"18/20
319",original
2025-1-TCC00332-B1,2025-1,TCC00332,B1,terca,20:00,22:00,317,"20/22
317",original
2025-1-TCC00332-B1,2025-1,TCC00332,B1,quinta,20:00,22:00,317,"20/22
317",original
2025-1-TCC00354-A1,2025-1,TCC00354,A1,terca,18:00,20:00,202,"18/20
202",original
2025-1-TCC00354-A1,2025-1,TCC00354,A1,quinta,18:00,20:00,202,"18/20
202",original
2025-1-TCC00354-B1,2025-1,TCC00354,B1,terca,20:00,22:00,202,"20/22
202",original
2025-1-TCC00354-B1,2025-1,TCC00354,B1,quinta,20:00,22:00,202,"20/22
202",original
2025-1-TCC00363-A1,2025-1,TCC00363,A1,terca,20:00,22:00,206,"20/22
206",original
2025-1-TCC00363-A1,2025-1,TCC00363,A1,quinta,20:00,22:00,206,"20/22
206",original
2025-1-TCC00324-A1,2025-1,TCC00324,A1,segunda,20:00,22:00,206,"20/22
206",original
2025-1-TCC00324-A1,2025-1,TCC00324,A1,quarta,20:00,22:00,206,"20/22
206",original
2025-1-TCC00297-A1,2025-1,TCC00297,A1,terca,11:00,13:00,202,"11/13
202",original
2025-1-TCC00297-A1,2025-1,TCC00297,A1,quinta,11:00,13:00,202,"11/13
202",original
2025-1-TCC00298-A1,2025-1,TCC00298,A1,segunda,11:00,13:00,202,"11/13
202",original
2025-1-TCC00298-A1,2025-1,TCC00298,A1,quarta,11:00,13:00,202,"11/13
202",original
2025-1-TCC00337-A1,2025-1,TCC00337,A1,segunda,18:00,20:00,206,"18/20
206",original
