turma_id,codigo,status,sala,fonte
2025-1-TCC00311-B1,TCC00311,projeto_ou_sem_periodo,,mantida_nula
2025-2-GCI00116-,GCI00116,externa_sem_sala,,mantida_nula
2025-2-GCI00126-,GCI00126,externa_sem_sala,,mantida_nula
2025-2-TCC00225-A1,TCC00225,sala_atribuida_provisoriamente,217,historico_ou_compatibilidade
2025-2-TCC00241-A1,TCC00241,sala_atribuida_provisoriamente,204,historico_ou_compatibilidade
2025-2-TCC00311-B1,TCC00311,projeto_ou_sem_periodo,,mantida_nula
2025-2-TCC00318-A1,TCC00318,sala_atribuida_provisoriamente,217,historico_ou_compatibilidade
2025-2-TCC00335-A1,TCC00335,sala_atribuida_provisoriamente,215,historico_ou_compatibilidade
2025-2-TCC00336-A1,TCC00336,sala_atribuida_provisoriamente,321,historico_ou_compatibilidade
2025-2-TCC00337-A1,TCC00337,sala_atribuida_provisoriamente,206,historico_ou_compatibilidade
2025-2-TCC00361-A1,TCC00361,sala_atribuida_provisoriamente,L306,historico_ou_compatibilidade
2025-2-TCC00362-A1,TCC00362,sala_atribuida_provisoriamente,204,historico_ou_compatibilidade
