turma_id,semestre,codigo,dia,inicio,fim,sala_observada,laboratorio_observado,recursos_observados,observacao_fonte,requer_laboratorio,recursos_requeridos,requisito_fonte
2026-1-TCC00284-A1,2026-1,TCC00284,terca,07:00,09:00,206,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00284-A1,2026-1,TCC00284,quinta,07:00,09:00,206,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00285-A1,2026-1,TCC00285,terca,11:00,13:00,213,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00285-A1,2026-1,TCC00285,quinta,11:00,13:00,213,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00285-B1,2026-1,TCC00285,terca,11:00,13:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00285-B1,2026-1,TCC00285,quinta,11:00,13:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00286-A1,2026-1,TCC00286,terca,09:00,11:00,206,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00286-A1,2026-1,TCC00286,quinta,09:00,11:00,206,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00349-A1,2026-1,TCC00349,terca,09:00,11:00,213,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00349-A1,2026-1,TCC00349,quinta,09:00,11:00,213,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00287-A1,2026-1,TCC00287,terca,07:00,09:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00287-A1,2026-1,TCC00287,quinta,07:00,09:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00288-A1,2026-1,TCC00288,segunda,07:00,09:00,404B,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00288-A1,2026-1,TCC00288,quarta,07:00,09:00,404B,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00336-A1,2026-1,TCC00336,segunda,20:00,22:00,L302,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00336-A1,2026-1,TCC00336,quarta,20:00,22:00,L302,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00336-Z1,2026-1,TCC00336,terca,18:00,20:00,204,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00336-Z1,2026-1,TCC00336,quinta,18:00,20:00,204,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00289-A1,2026-1,TCC00289,segunda,09:00,11:00,206,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00289-A1,2026-1,TCC00289,quarta,09:00,11:00,206,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00290-A1,2026-1,TCC00290,quinta,11:00,13:00,215,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00222-A1,2026-1,TCC00222,quinta,18:00,22:00,213,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00291-A1,2026-1,TCC00291,segunda,11:00,13:00,202,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00291-A1,2026-1,TCC00291,quarta,11:00,13:00,202,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00226-A1,2026-1,TCC00226,segunda,09:00,11:00,L302,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00226-A1,2026-1,TCC00226,quarta,09:00,11:00,L302,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00225-A1,2026-1,TCC00225,terca,18:00,20:00,302,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00225-A1,2026-1,TCC00225,quinta,18:00,20:00,302,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00292-A1,2026-1,TCC00292,segunda,09:00,11:00,215,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00292-A1,2026-1,TCC00292,quarta,09:00,11:00,215,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00293-A1,2026-1,TCC00293,segunda,09:00,11:00,213,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00293-A1,2026-1,TCC00293,quarta,09:00,11:00,213,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00348-A1,2026-1,TCC00348,terca,11:00,13:00,313,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00348-A1,2026-1,TCC00348,quinta,11:00,13:00,313,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00348-B1,2026-1,TCC00348,terca,11:00,13:00,202,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00348-B1,2026-1,TCC00348,quinta,11:00,13:00,202,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00331-A1,2026-1,TCC00331,segunda,18:00,20:00,202,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00331-A1,2026-1,TCC00331,quarta,18:00,20:00,202,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00331-B1,2026-1,TCC00331,segunda,18:00,20:00,204,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00331-B1,2026-1,TCC00331,quarta,18:00,20:00,204,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00371-A1,2026-1,TCC00371,terca,09:00,11:00,308,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00371-A1,2026-1,TCC00371,quinta,09:00,11:00,308,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00296-A1,2026-1,TCC00296,terca,14:00,16:00,213,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00296-A1,2026-1,TCC00296,quinta,14:00,16:00,213,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00296-B1,2026-1,TCC00296,terca,07:00,09:00,202,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00296-B1,2026-1,TCC00296,quinta,07:00,09:00,202,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00332-A1,2026-1,TCC00332,terca,18:00,20:00,317,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00332-A1,2026-1,TCC00332,quinta,18:00,20:00,317,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00332-B1,2026-1,TCC00332,terca,20:00,22:00,317,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00332-B1,2026-1,TCC00332,quinta,20:00,22:00,317,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00354-A1,2026-1,TCC00354,terca,18:00,20:00,313,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00354-A1,2026-1,TCC00354,quinta,18:00,20:00,313,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00354-B1,2026-1,TCC00354,terca,20:00,22:00,308,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00354-B1,2026-1,TCC00354,quinta,20:00,22:00,308,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00363-A1,2026-1,TCC00363,terca,20:00,22:00,202,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00363-A1,2026-1,TCC00363,quinta,20:00,22:00,202,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00324-A1,2026-1,TCC00324,segunda,20:00,22:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00324-A1,2026-1,TCC00324,quarta,20:00,22:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00297-A1,2026-1,TCC00297,terca,07:00,09:00,213,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00297-A1,2026-1,TCC00297,quinta,07:00,09:00,213,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00298-A1,2026-1,TCC00298,segunda,11:00,13:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00298-A1,2026-1,TCC00298,quarta,11:00,13:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00337-A1,2026-1,TCC00337,segunda,18:00,20:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00337-A1,2026-1,TCC00337,quarta,18:00,20:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00361-A1,2026-1,TCC00361,terca,20:00,22:00,302,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00361-A1,2026-1,TCC00361,quinta,20:00,22:00,302,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00301-AA,2026-1,TCC00301,terca,11:00,13:00,L305,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00301-BA,2026-1,TCC00301,quinta,11:00,13:00,L305,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00344-AA,2026-1,TCC00344,segunda,07:00,09:00,L306,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00344-AA,2026-1,TCC00344,quarta,07:00,09:00,L306,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00346-AA,2026-1,TCC00346,terca,16:00,18:00,L305,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00346-BA,2026-1,TCC00346,quinta,16:00,18:00,L305,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00355-EA,2026-1,TCC00355,segunda,20:00,22:00,L306,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00355-EA,2026-1,TCC00355,quarta,20:00,22:00,L306,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00355-FA,2026-1,TCC00355,segunda,20:00,22:00,L307,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00355-FA,2026-1,TCC00355,quarta,20:00,22:00,L307,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00304-A1,2026-1,TCC00304,segunda,11:00,13:00,206,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00304-A1,2026-1,TCC00304,quarta,11:00,13:00,206,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00305-A1,2026-1,TCC00305,segunda,07:00,09:00,206,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00305-A1,2026-1,TCC00305,quarta,07:00,09:00,206,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00306-A1,2026-1,TCC00306,terca,09:00,11:00,302,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00306-A1,2026-1,TCC00306,quinta,09:00,11:00,302,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00330-A1,2026-1,TCC00330,segunda,18:00,20:00,215,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00330-A1,2026-1,TCC00330,quarta,18:00,20:00,215,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00318-A1,2026-1,TCC00318,terca,09:00,11:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00318-A1,2026-1,TCC00318,quinta,09:00,11:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00368-A1,2026-1,TCC00368,sexta,18:00,22:00,217,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
