turma_id,semestre,codigo,disciplina,periodo,exige_laboratorio,recursos_requeridos,fontes
2025-1-TCC00284-A1,2025-1,TCC00284,ALGORITMOS EM GRAFOS,CC-P6,False,,sala_observada
2025-1-TCC00285-A1,2025-1,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,CC-P5,False,,sala_observada
2025-1-TCC00286-A1,2025-1,TCC00286,ARQUITETURAS DE COMPUTADORES,CC-P3-A,False,,sala_observada
2025-1-TCC00286-B1,2025-1,TCC00286,ARQUITETURAS DE COMPUTADORES,CC-P3-B,False,,sala_observada
2025-1-TCC00349-A1,2025-1,TCC00349,AVALIAÇÃO DE DESEMPENHO,CC-P5,False,,sala_observada
2025-1-TCC00336-A1,2025-1,TCC00336,BANCO DE DADOS NÃO CONVENCIONAIS,SI-P6,False,,sala_observada
2025-1-TCC00287-A1,2025-1,TCC00287,BANCO DE DADOS I,CC-P4,False,,sala_observada
2025-1-TCC00288-A1,2025-1,TCC00288,BANCO DE DADOS II,CC-P5,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00289-A1,2025-1,TCC00289,COMPILADORES,CC-P7,False,,sala_observada
2025-1-TCC00290-A1,2025-1,TCC00290,COMPUTAÇÃO E SOCIEDADE,CC-P8,False,,sala_observada
2025-1-TCC00222-A1,2025-1,TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SISTEMAS DE INFORMAÇÃO,SI-P8,False,,sala_observada
2025-1-TCC00291-A1,2025-1,TCC00291,COMPUTAÇÃO GRÁFICA,CC-P6,False,,sala_observada
2025-1-TCC00226-A1,2025-1,TCC00226,DESENVOLVIMENTO WEB,CC-P5,True,laboratorio,codigo_historico_somente_laboratorio
2025-1-TCC00226-X1,2025-1,TCC00226,DESENVOLVIMENTO WEB,CC-P5,True,laboratorio,codigo_historico_somente_laboratorio
2025-1-TCC00368-A1,2025-1,TCC00368,WEB AVANC. / PESQUISA OPERACIONAL PARA SI,SI-P7,False,,sala_observada
2025-1-TCC00225-A1,2025-1,TCC00225,ENGENHARIA DE SOFTWARE,SI-P5,False,,sala_observada
2025-1-TCC00292-A1,2025-1,TCC00292,ENGENHARIA DE SOFTWARE I,CC-P4,False,,sala_observada
2025-1-TCC00293-A1,2025-1,TCC00293,ENGENHARIA DE SOFTWARE II,CC-P6,False,,sala_observada
2025-1-TCC00348-A1,2025-1,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,CC-P3-A,False,,sala_observada
2025-1-TCC00348-B1,2025-1,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,CC-P3-B,False,,sala_observada
2025-1-TCC00331-A1,2025-1,TCC00331,ESTRUTURAS DE DADOS PARA SISTEMAS DE INFORMAÇÃO,SI-P3-A,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00331-X1,2025-1,TCC00331,ESTRUTURAS DE DADOS PARA SISTEMAS DE INFORMAÇÃO,SI-P3-B,True,laboratorio,sala_observada_codigo_misto
2025-1-TCC00296-A1,2025-1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,CC-P1-A,False,,sala_observada
2025-1-TCC00296-B1,2025-1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,CC-P1-B,False,,sala_observada
2025-1-TCC00332-A1,2025-1,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,SI-P1-A,False,,sala_observada
2025-1-TCC00332-B1,2025-1,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,SI-P1-B,False,,sala_observada
2025-1-TCC00354-A1,2025-1,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMPUTAÇÃO,SI-P1-A,False,,sala_observada
2025-1-TCC00354-B1,2025-1,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMPUTAÇÃO,SI-P1-B,False,,sala_observada
2025-1-TCC00363-A1,2025-1,TCC00363,GERÊNCIA DE PROJETOS E MANUT DE SOFTWARE,SI-P7,False,,sala_observada
2025-1-TCC00324-A1,2025-1,TCC00324,GOVERNANÇA EM TECNOLOGIA DA INFORMAÇÃO,SI-P8,False,,sala_observada
2025-1-TCC00297-A1,2025-1,TCC00297,INTELIGÊNCIA ARTIFICIAL,CC-P7,False,,sala_observada
