turma_id,semestre,codigo,disciplina,usa_laboratorio_observado,recursos_observados,observacao_fontes,exige_laboratorio,recursos_requeridos,requisito_fonte
2026-1-TCC00284-A1,2026-1,TCC00284,ALGORITMOS EM GRAFOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00285-A1,2026-1,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00285-B1,2026-1,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00286-A1,2026-1,TCC00286,ARQUITETURAS DE COMPUTADORES,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00349-A1,2026-1,TCC00349,AVALIAÇÃO DE DESEMPENHO,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00287-A1,2026-1,TCC00287,BANCO DE DADOS I,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00288-A1,2026-1,TCC00288,BANCO DE DADOS II,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00336-A1,2026-1,TCC00336,BANCOS DE DADOS NÃO CONVENCIONAIS,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00336-Z1,2026-1,TCC00336,BANCOS DE DADOS NÃO CONVENCIONAIS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00289-A1,2026-1,TCC00289,COMPILADORES,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00290-A1,2026-1,TCC00290,COMPUTAÇÃO E SOCIEDADE,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00222-A1,2026-1,TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SI,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00291-A1,2026-1,TCC00291,COMPUTAÇÃO GRÁFICA,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00226-A1,2026-1,TCC00226,DESENVOLVIMENTO WEB,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00225-A1,2026-1,TCC00225,ENGENHARIA DE SOFTWARE,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00292-A1,2026-1,TCC00292,ENGENHARIA DE SOFTWARE I,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00293-A1,2026-1,TCC00293,ENGENHARIA DE SOFTWARE II,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00348-A1,2026-1,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00348-B1,2026-1,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00331-A1,2026-1,TCC00331,ESTRUTURAS DE DADOS PARA SI,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00331-B1,2026-1,TCC00331,ESTRUTURAS DE DADOS PARA SI,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00371-A1,2026-1,TCC00371,ÉTICA EM INT. ARTIFICIAL E CIÊNCIA DE DADOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00296-A1,2026-1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00296-B1,2026-1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00332-A1,2026-1,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00332-B1,2026-1,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
