algoritmo,seed,tempo_segundos,avaliacoes,score,hard_total,deficit_h12,hard_conflitos_sala,hard_conflitos_professor,hard_conflitos_curriculares,hard_capacidade_insuficiente,hard_recursos_incompativeis,hard_descanso_insuficiente,hard_carga_anual_insuficiente,soft_dias_trabalhados,soft_janelas,soft_desperdicio_capacidade,soft_rodizio_semestre,soft_preferencia_priorizada
baseline,-,0.0,1,27003758.716666665,27,14.0,3,0,10,0,0,0,14,233,46,3521.0,38,-79.28333333333335
guloso,-,10.039884,2423,12002755.95,12,2.0,0,0,10,0,0,0,2,215,36,2548.0,33,-76.05
sa,101,6.503878,1500,11003580.35,11,1.0,0,0,10,0,0,0,1,231,79,3308.0,31,-68.64999999999999
sa,202,5.069353,1500,10004332.95,10,0.0,0,0,10,0,0,0,0,232,79,4065.0,29,-72.05
sa,303,5.402758,1500,10003723.466666667,10,0.0,0,0,10,0,0,0,0,230,80,3453.0,29,-68.53333333333335
sa,404,5.625992,1500,10004230.583333334,10,0.0,0,0,10,0,0,0,0,228,116,3925.0,27,-65.41666666666667
sa,505,6.344747,1500,11004422.433333334,11,1.0,0,0,10,0,0,0,1,229,90,4139.0,29,-64.56666666666668
ils,101,6.853031,1500,11002751.95,11,1.0,0,0,10,0,0,0,1,217,31,2548.0,32,-76.05
ils,202,7.773997,1500,11002820.95,11,1.0,0,0,10,0,0,0,1,217,36,2611.0,33,-76.05
ils,303,8.438493,1500,11002763.95,11,1.0,0,0,10,0,0,0,1,215,36,2556.0,33,-76.05
ils,404,8.992889,1500,11002760.95,11,2.0,0,0,10,0,0,0,1,216,39,2548.0,33,-75.05
ils,505,9.508143,1500,12002755.95,12,2.0,0,0,10,0,0,0,2,215,36,2548.0,33,-76.05
vns,101,9.39528,1500,11002744.616666667,11,1.0,0,0,10,0,0,0,1,214,29,2544.0,32,-74.38333333333334
vns,202,8.767523,1500,11002757.616666667,11,1.0,0,0,10,0,0,0,1,217,36,2548.0,32,-75.38333333333334
vns,303,8.880535,1500,11002823.2,11,1.0,0,0,10,0,0,0,1,217,30,2619.0,32,-74.8
vns,404,8.89125,1500,11002784.45,11,1.0,0,0,10,0,0,0,1,220,30,2580.0,30,-75.55
vns,505,7.487845,1500,12002753.7,12,2.0,0,0,10,0,0,0,2,214,36,2548.0,31,-75.3
