turma_id,semestre,codigo,disciplina,turma,origem,horario_observado,dias_observados,horario_fixo,fonte,validado
2026-1-CGI00004-A1,2026-1,CGI00004,SEMINÁRIOS EM SISTEMAS DE INFORMAÇÃO,A1,externa,sexta 18:00-22:00,sexta,,externa; turmas_2026_cc_si.csv,
2026-1-TCC00195-A1,2026-1,TCC00195,METAHEURÍSTICAS Pós: Inteligência Computacional,A1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00205-A1,2026-1,TCC00205,LINGUAGENS DE PROGRAMAÇÃO EM LÓGICA Pós: Lógica,A1,IC,quarta 16:00-20:00,quarta,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00222-A1,2026-1,TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SI,A1,IC,quinta 18:00-22:00,quinta,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00225-A1,2026-1,TCC00225,ENGENHARIA DE SOFTWARE,A1,IC,terca 18:00-20:00; quinta 18:00-20:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00226-A1,2026-1,TCC00226,DESENVOLVIMENTO WEB,A1,IC,segunda 09:00-11:00; quarta 09:00-11:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00230-A1,2026-1,TCC00230,TÓPICOS ESPECIAIS EM SEGURANÇA DA INFORMAÇÃO Pós: Criptografia,A1,IC,sexta 09:00-13:00,sexta,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00241-A1,2026-1,TCC00241,TÓPICOS EM COMPUTAÇÃO I Pós: Visão Computacional,A1,IC,terca 14:00-16:00; quinta 14:00-16:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00242-A1,2026-1,TCC00242,TÓPICOS EM COMPUTAÇÃO II,A1,IC,terca 18:00-20:00; quinta 18:00-20:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00244-A1,2026-1,TCC00244,TÓPICOS EM BANCO DE DADOS I Pós: eScience,A1,IC,terca 07:00-09:00; quinta 07:00-09:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00250-A1,2026-1,TCC00250,TÓPICOS EM ENGENHARIA DE SOFWARE I Pós: Game Analytics,A1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00251-A1,2026-1,TCC00251,TÓPICOS EM ENGENHARIA DE SOFWARE II Pós: Controle de Versão,A1,IC,segunda 07:00-09:00; quarta 07:00-09:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00253-A1,2026-1,TCC00253,TÓPICOS ESPECIAIS EM SISTEMAS DE PROGRAMAÇÃO I,A1,IC,sexta 18:00-22:00,sexta,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00259-A1,2026-1,TCC00259,TÓPICOS EM INTELIGÊNCIA ARTIFICIAL I Aprendizado Profundo,A1,IC,terca 14:00-16:00; quinta 14:00-16:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
