codigo,disciplina,usou_sala_comum,usou_laboratorio,alternou_tipo_de_sala,salas_observadas,requer_laboratorio,recursos_requeridos,fonte,validado
CGI00004,SEMINÁRIOS EM SISTEMAS DE INFORMAÇÃO,True,False,False,215,,,horarios_2026_cc_si.csv,
TCC00194,BIOLOGIA COMPUTACIONAL (OPTATIVA),True,False,False,206,,,horarios_2026_cc_si.csv,
TCC00195,METAHEURÍSTICAS Pós: Inteligência Computacional,True,False,False,315,,,horarios_2026_cc_si.csv,
TCC00196,PROGRAMAÇÃO LINEAR INTEIRA - OTIMIZAÇÃO COMBINATÓRIA (GRAD. E PÓS),True,False,False,206,,,horarios_2026_cc_si.csv,
TCC00200,MINERAÇÃO DE DADOS (GRAD. E PÓS),True,False,False,321,,,horarios_2026_cc_si.csv,
TCC00203,ANÁLISE / PROCESSAMENTO DE IMAGENS (GRAD. E PÓS),True,False,False,319,,,horarios_2026_cc_si.csv,
TCC00205,LINGUAGENS DE PROGRAMAÇÃO EM LÓGICA Pós: Lógica,True,False,False,306,,,horarios_2026_cc_si.csv,
TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SI,True,False,False,213,,,horarios_2026_cc_si.csv,
TCC00225,ENGENHARIA DE SOFTWARE,True,False,False,204;302,,,horarios_2026_cc_si.csv,
TCC00226,DESENVOLVIMENTO WEB,False,True,False,L302;L306,,,horarios_2026_cc_si.csv,
TCC00230,TÓPICOS ESPECIAIS EM SEGURANÇA DA INFORMAÇÃO Pós: Criptografia,True,False,False,217,,,horarios_2026_cc_si.csv,
TCC00234,TÓPICOS EM ARQUITETURAS DE COMPUTADORES I (GRAD. E PÓS),True,False,False,302,,,horarios_2026_cc_si.csv,
TCC00237,TÓPICOS EM AUTOMAÇÃO I - ROBÓTICA E VEÍCULOS AUTÔNOMOS (GRAD. E PÓS),False,True,False,L305,,,horarios_2026_cc_si.csv,
TCC00241,TÓPICOS EM COMPUTAÇÃO I - GRAFOS E SUAS APLICAÇÕES,True,False,False,217,,,horarios_2026_cc_si.csv,
TCC00241,TÓPICOS EM COMPUTAÇÃO I Pós: Visão Computacional,True,False,False,313,,,horarios_2026_cc_si.csv,
TCC00242,TÓPICOS EM COMPUTAÇÃO II,True,False,False,308,,,horarios_2026_cc_si.csv,
TCC00242,TÓPICOS EM COMPUTAÇÃO II - ÁLGEBRA LINEAR COMPUTACIONAL (GRAD. E PÓS),True,False,False,313,,,horarios_2026_cc_si.csv,
TCC00243,TÓPICOS EM COMPUTAÇÃO III - ALGORITMOS E COMPLEXIDADE DE PROBLEMAS (GRAD. E PÓS),True,False,False,304,,,horarios_2026_cc_si.csv,
TCC00244,TÓPICOS EM BANCO DE DADOS I Pós: eScience,True,False,False,204,,,horarios_2026_cc_si.csv,
TCC00245,TÓPICOS EM BANCO DE DADOS II - RASTREABILIDADE E GOVERNANÇA DE DADOS (GRAD. E PÓS),True,False,False,217,,,horarios_2026_cc_si.csv,
TCC00250,TÓPICOS EM ENGENHARIA DE SOFWARE I Pós: Game Analytics,True,False,False,302,,,horarios_2026_cc_si.csv,
TCC00251,TÓPICOS EM ENGENHARIA DE SOFWARE II Pós: Controle de Versão,True,False,False,215,,,horarios_2026_cc_si.csv,
TCC00252,TÓPICOS EM ENG DE SOFTWARE III - IA GENERATIVA (GRAD. E PÓS),True,False,False,204;302,,,horarios_2026_cc_si.csv,
TCC00253,TÓPICOS ESPECIAIS EM SISTEMAS DE PROGRAMAÇÃO I,True,False,False,204,,,horarios_2026_cc_si.csv,
TCC00259,TÓPICOS EM INTELIGÊNCIA ARTIFICIAL I Aprendizado Profundo,True,False,False,306,,,horarios_2026_cc_si.csv,
TCC00259,TÓPICOS EM IA I - APRENDIZADO PROFUNDO (GRAD. E PÓS),True,False,False,313,,,horarios_2026_cc_si.csv,
TCC00260,TÓPICOS EM INTELIGÊNCIA ARTIFICIAL II Pós: Aprendizado de Máquina,True,False,False,304,,,horarios_2026_cc_si.csv,
TCC00265,TÓPICOS EM INTERFACE HOMEM MÁQUINA (GRAD. E PÓS),True,False,False,317,,,horarios_2026_cc_si.csv,
TCC00271,TÓPICOS EM LINGUAGEM DE PROGRAMAÇÃO I,True,True,True,317;L303,,,horarios_2026_cc_si.csv,
TCC00271,TÓPICOSS EM LINGUAGEM DE PROGRAMAÇÃO I - LÓGICA NEBULOSA (GRAD. E PÓS),True,False,False,404B,,,horarios_2026_cc_si.csv,
TCC00280,COMPUTAÇÃO E MEIO AMBIENTE,True,False,False,215,,,horarios_2026_cc_si.csv,
TCC00284,ALGORITMOS EM GRAFOS,True,False,False,206;321,,,horarios_2026_cc_si.csv,
TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,True,False,False,213;217;313,,,horarios_2026_cc_si.csv,
TCC00286,ARQUITETURAS DE COMPUTADORES,True,False,False,204;206;319,,,horarios_2026_cc_si.csv,
TCC00287,BANCO DE DADOS I,True,False,False,217,,,horarios_2026_cc_si.csv,
TCC00288,BANCO DE DADOS II,True,False,False,321;404B,,,horarios_2026_cc_si.csv,
TCC00289,COMPILADORES,True,False,False,206;321,,,horarios_2026_cc_si.csv,
TCC00290,COMPUTAÇÃO E SOCIEDADE,True,False,False,215,,,horarios_2026_cc_si.csv,
TCC00291,COMPUTAÇÃO GRÁFICA,True,False,False,202;321,,,horarios_2026_cc_si.csv,
TCC00292,ENGENHARIA DE SOFTWARE I,True,False,False,215,,,horarios_2026_cc_si.csv,
TCC00293,ENGENHARIA DE SOFTWARE II,True,False,False,213;215,,,horarios_2026_cc_si.csv,
TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,True,False,False,202;204;213,,,horarios_2026_cc_si.csv,
TCC00297,INTELIGÊNCIA ARTIFICIAL,True,False,False,213;302,,,horarios_2026_cc_si.csv,
