codigo,disciplina,origem,setor_historico_2025,dias_observados_2026,dias_setor_historico,setor_oficial,fonte,validado
CGI00004,SEMINÁRIOS EM SISTEMAS DE INFORMAÇÃO,externa,,sexta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00194,BIOLOGIA COMPUTACIONAL (OPTATIVA),IC,,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00195,METAHEURÍSTICAS Pós: Inteligência Computacional,IC,,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00196,PROGRAMAÇÃO LINEAR INTEIRA - OTIMIZAÇÃO COMBINATÓRIA (GRAD. E PÓS),IC,,sexta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00200,MINERAÇÃO DE DADOS (GRAD. E PÓS),IC,,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00203,ANÁLISE / PROCESSAMENTO DE IMAGENS (GRAD. E PÓS),IC,,segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00205,LINGUAGENS DE PROGRAMAÇÃO EM LÓGICA Pós: Lógica,IC,,quarta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SI,IC,GER.SIST.TI,quinta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00225,ENGENHARIA DE SOFTWARE,IC,ENG.SOFT.,quarta;quinta;segunda;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00226,DESENVOLVIMENTO WEB,IC,ENG.SOFT.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00230,TÓPICOS ESPECIAIS EM SEGURANÇA DA INFORMAÇÃO Pós: Criptografia,IC,,sexta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00234,TÓPICOS EM ARQUITETURAS DE COMPUTADORES I (GRAD. E PÓS),IC,,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00237,TÓPICOS EM AUTOMAÇÃO I - ROBÓTICA E VEÍCULOS AUTÔNOMOS (GRAD. E PÓS),IC,,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00241,TÓPICOS EM COMPUTAÇÃO I - GRAFOS E SUAS APLICAÇÕES,IC,,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00241,TÓPICOS EM COMPUTAÇÃO I Pós: Visão Computacional,IC,,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00242,TÓPICOS EM COMPUTAÇÃO II,IC,,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00242,TÓPICOS EM COMPUTAÇÃO II - ÁLGEBRA LINEAR COMPUTACIONAL (GRAD. E PÓS),IC,,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00243,TÓPICOS EM COMPUTAÇÃO III - ALGORITMOS E COMPLEXIDADE DE PROBLEMAS (GRAD. E PÓS),IC,,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00244,TÓPICOS EM BANCO DE DADOS I Pós: eScience,IC,,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00245,TÓPICOS EM BANCO DE DADOS II - RASTREABILIDADE E GOVERNANÇA DE DADOS (GRAD. E PÓS),IC,,segunda;sexta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
