id,semestre,codigo,codigo_original,codigo_interno,disciplina,turma,turma_original,origem_codigo,categoria_observada,alocacao,professores,professores_qtd,alocacao_original,normalizacao_docente_verificada,status,pendencias,pagina_pdf,posicao_y,arquivo_origem
2026-1-TCC00311-A1,2026-1,TCC00311,TCC00311,TCC00311,PROJETO FINAL II,A1,A1,IC,nao_informada,Troy,Troy,1,TROY,True,incompleta,horario_ausente,4,424.015,dados/brutos/QH-2026-1.pdf
2026-1-SEM-CODIGO-001-SEM-TURMA,2026-1,,,SEM-CODIGO-001,Pós: Algebra Linear Computacional,,,nao_identificada,obrigatoria_pos,Pedro,Pedro,1,PEDRO CORTEZ,True,ativa,codigo_ausente,5,469.975,dados/brutos/QH-2026-1.pdf
2026-1-TCC00326-J1,2026-1,TCC00326,TCC00326,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,J1,J1,IC,servico,,,0,----,False,incompleta,professor_ausente,8,162.775,dados/brutos/QH-2026-1.pdf
2026-1-SEM-CODIGO-002-SEM-TURMA,2026-1,,,SEM-CODIGO-002,Pós: Aprendizado Profundo e Física Computacional,,,nao_identificada,optativa,Andre Brabo,Andre Brabo,1,ANDRÉ MAUES,True,ativa,codigo_ausente,8,316.255,dados/brutos/QH-2026-1.pdf
2026-1-SEM-CODIGO-003-SEM-TURMA,2026-1,,,SEM-CODIGO-003,Pós: Ciência Aberta,,,nao_identificada,optativa,Viterbo,Viterbo,1,JOSE VITERBO,True,ativa,codigo_ausente,8,351.655,dados/brutos/QH-2026-1.pdf
2026-1-SEM-CODIGO-004-SEM-TURMA,2026-1,,,SEM-CODIGO-004,Pós: Desenvolvimento de jogos e realidade virtual,,,nao_identificada,optativa,Esteban,Esteban,1,ESTEBAN CLUA,True,ativa,codigo_ausente,8,387.175,dados/brutos/QH-2026-1.pdf
2026-1-SEM-CODIGO-005-SEM-TURMA,2026-1,,,SEM-CODIGO-005,Pós: Métodos Computacionais para a Propagação de Ondas,,,nao_identificada,optativa,Ricardo,Ricardo,1,RICARDO LEIDERMAN,True,ativa,codigo_ausente,8,422.815,dados/brutos/QH-2026-1.pdf
2026-1-SEM-CODIGO-006-SEM-TURMA,2026-1,,,SEM-CODIGO-006,Pós: Otimização em Grafos,,,nao_identificada,optativa,Fabio,Fabio,1,FÁBIO PROTTI,True,ativa,codigo_ausente,8,458.215,dados/brutos/QH-2026-1.pdf
2026-1-SEM-CODIGO-007-SEM-TURMA,2026-1,,,SEM-CODIGO-007,Pós: Redes de Computadores,,,nao_identificada,optativa,Igor Moraes,Igor Moraes,1,IGOR MONTEIRO,True,ativa,codigo_ausente,8,493.735,dados/brutos/QH-2026-1.pdf
2026-1-SEM-CODIGO-008-SEM-TURMA,2026-1,,,SEM-CODIGO-008,Pós: UX Design - Aplicando IA no Processo Criativo Centrado no Humano,,,nao_identificada,optativa,Daniela,Daniela,1,DANIELA TREVISAN,True,ativa,codigo_ausente,8,529.375,dados/brutos/QH-2026-1.pdf
2026-1-SEM-CODIGO-009-SEM-TURMA,2026-1,,,SEM-CODIGO-009,Pós: Visualização de Dados,,,nao_identificada,optativa,Marcos Lage,Marcos Lage,1,MARCOS LAGE,True,ativa,codigo_ausente,9,56.215,dados/brutos/QH-2026-1.pdf
2026-2-SEM-CODIGO-001-SEM-TURMA,2026-2,,--,SEM-CODIGO-001,ANÁLISE COMPUTACIONAL DE SISTEMAS DE POTÊNCIA (GRAD. E PÓS),,--,nao_identificada,graduacao_pos_explicita_no_nome,Julio Stacchini,Julio Stacchini,1,Julio Stacchini,False,ativa,codigo_ausente;normalizacao_docente_nao_verificada,1,158.576,dados/brutos/QH-2026-2.pdf
2026-2-TCC00285-A1,2026-2,TCC00285,TCC00285,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,A1,A1,IC,nao_informada,,Raquel;Martinhon,2,Raquel / Martinhon,True,ativa,multiplos_professores,1,188.696,dados/brutos/QH-2026-2.pdf
2026-2-SEM-CODIGO-002-SEM-TURMA,2026-2,,--,SEM-CODIGO-002,COMPUTAÇÃO MÓVEL,,--,nao_identificada,nao_informada,Celio,Celio,1,Célio,True,ativa,codigo_ausente,2,113.336,dados/brutos/QH-2026-2.pdf
2026-2-SEM-CODIGO-003-SEM-TURMA,2026-2,,--,SEM-CODIGO-003,ÉTICA EM INTELIGÊNCIA ARTIFICIAL,,--,nao_identificada,nao_informada,Mariza,Mariza,1,Mariza,True,ativa,codigo_ausente,2,504.896,dados/brutos/QH-2026-2.pdf
2026-2-TCC00354-A1,2026-2,TCC00354,TCC00354,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,A1,A1,IC,nao_informada,,Martinhon;Raquel,2,Martinhon / Raquel,True,ativa,multiplos_professores,3,173.576,dados/brutos/QH-2026-2.pdf
2026-2-TCC00354-B1,2026-2,TCC00354,TCC00354,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,B1,B1,IC,nao_informada,Thiago,Thiago,1,Thiago,False,ativa,normalizacao_docente_nao_verificada,3,203.696,dados/brutos/QH-2026-2.pdf
2026-2-SEM-CODIGO-004-SEM-TURMA,2026-2,,--,SEM-CODIGO-004,INTELIGÊNCIA COMPUTACIONAL (GRAD. E PÓS),,--,nao_identificada,graduacao_pos_explicita_no_nome,Satoru,Satoru,1,Satoru,True,ativa,codigo_ausente,3,324.176,dados/brutos/QH-2026-2.pdf
2026-2-TCC00355-E-A,2026-2,TCC00355,TCC00355,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,E-A,E-A,IC,nao_informada,Miguel,Miguel,1,Miguel,False,ativa,normalizacao_docente_nao_verificada,4,113.336,dados/brutos/QH-2026-2.pdf
2026-2-SEM-CODIGO-005-SEM-TURMA,2026-2,,--,SEM-CODIGO-005,LÓGICA (GRAD. E PÓS),,--,nao_identificada,graduacao_pos_explicita_no_nome,Bruno,Bruno,1,Bruno,True,ativa,codigo_ausente,4,263.936,dados/brutos/QH-2026-2.pdf
