semestre,codigo,disciplina,curso,periodo_curricular,turma,turma_url,horarios,vagas_por_curso,quantidade_secoes_alternativas,vinculada_ao_pdf,tratamento_no_modelo
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,SI,,D1,/graduacao/quadrodehorarios/turmas/100000452657,Sab 14:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3}]",11,False,
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,SI,,F1,/graduacao/quadrodehorarios/turmas/100000452662,Sab 14:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":8,""vagas_vestibulando"":0,""vagas"":8,""inscritos_regular"":8,""inscritos_vestibulando"":0,""inscritos"":8}]",11,False,
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,SI,,G1,/graduacao/quadrodehorarios/turmas/100000452666,Sab 14:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3}]",11,False,
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,SI,,M1,/graduacao/quadrodehorarios/turmas/100000452663,Sab 14:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",11,False,
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,SI,,M2,/graduacao/quadrodehorarios/turmas/100000452664,Sab 14:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2}]",11,False,
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,SI,,M3,/graduacao/quadrodehorarios/turmas/100000452665,Sab 14:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2}]",11,False,
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,SI,,R1,/graduacao/quadrodehorarios/turmas/100000452656,Sab 14:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2}]",11,False,
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,SI,,R2,/graduacao/quadrodehorarios/turmas/100000452658,Sab 14:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":7,""vagas_vestibulando"":0,""vagas"":7,""inscritos_regular"":7,""inscritos_vestibulando"":0,""inscritos"":7}]",11,False,
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,SI,,R3,/graduacao/quadrodehorarios/turmas/100000452659,Sab 14:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":5,""inscritos_vestibulando"":0,""inscritos"":5}]",11,False,
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,SI,,R4,/graduacao/quadrodehorarios/turmas/100000452660,Sab 14:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3}]",11,False,
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,SI,,V1,/graduacao/quadrodehorarios/turmas/100000452661,Sab 14:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",11,False,
2026-1,CGI00003,PROJETO DE APLICAÇÃO II,SI,,A1,/graduacao/quadrodehorarios/turmas/100000451019,Sab 08:00-12:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":85,""vagas_vestibulando"":0,""vagas"":85,""inscritos_regular"":70,""inscritos_vestibulando"":0,""inscritos"":70}]",1,False,
2026-1,CGI00004,SEMINÁRIOS EM SISTEMAS DE INFORMAÇÃO,SI,,A1,/graduacao/quadrodehorarios/turmas/100000451007,Sex 18:00-20:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":8,""vagas_vestibulando"":61,""vagas"":69,""inscritos_regular"":5,""inscritos_vestibulando"":58,""inscritos"":63},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",1,True,
2026-1,CGI00005,ATIVIDADES COMPLEMENTARES II,SI,,A1,/graduacao/quadrodehorarios/turmas/100000450154,Sab 12:00-14:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":75,""vagas_vestibulando"":0,""vagas"":75,""inscritos_regular"":63,""inscritos_vestibulando"":0,""inscritos"":63}]",1,False,
2026-1,GAN00140,ÁLGEBRA LINEAR,CC,,B1,/graduacao/quadrodehorarios/turmas/100000450688,Seg 09:00-11:00; Qua 09:00-11:00,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":58,""vagas_vestibulando"":2,""vagas"":60,""inscritos_regular"":51,""inscritos_vestibulando"":1,""inscritos"":52}]",2,False,
