turma_id,turma_url,semestre,codigo,turma_pdf,turma_web,metodo_vinculo,horario_pdf,horario_web,vagas,inscritos,quantidade_candidatos,status_vinculo,evidencia,decisao
2026-1-CGI00004-A1,/graduacao/quadrodehorarios/turmas/100000451007,2026-1,CGI00004,A1,A1,turma_exata,sexta 18:00-22:00,Sex 18:00-20:00,71,64,1,divergencia_horario,Horário do PDF (sexta 18:00-22:00) difere do sistema web (Sex 18:00-20:00); horário do PDF preservado sem substituição automática,
2026-1-TCC00307-B1A1,/graduacao/quadrodehorarios/turmas/100000447080,2026-1,TCC00307,B1A1,A1,turma_contida_e_encontros_contidos,terca 11:00-13:00; quinta 11:00-13:00,Ter 11:00-13:00; Qui 11:00-13:00,59,53,1,turma_normalizada,Turma no PDF 'B1A1' vinculada à turma 'A1' do sistema pelo método turma_contida_e_encontros_contidos (Ter 11:00-13:00; Qui 11:00-13:00),
2026-2-TCC00194-SEM-TURMA,/graduacao/quadrodehorarios/turmas/100000462594,2026-2,TCC00194,,A1,encontros_exatos,terca 16:00-18:00; quinta 16:00-18:00,Ter 16:00-18:00; Qui 16:00-18:00,32,32,1,turma_sem_identificador_no_pdf,Oferta do PDF sem identificador de turma vinculada à turma única 'A1' do sistema pelo horário exato (Ter 16:00-18:00; Qui 16:00-18:00),
2026-2-TCC00196-SEM-TURMA,/graduacao/quadrodehorarios/turmas/100000462774,2026-2,TCC00196,,A1,encontros_exatos,sexta 14:00-18:00,Sex 14:00-18:00,17,12,1,turma_sem_identificador_no_pdf,Oferta do PDF sem identificador de turma vinculada à turma única 'A1' do sistema pelo horário exato (Sex 14:00-18:00),
2026-2-TCC00200-SEM-TURMA,/graduacao/quadrodehorarios/turmas/100000462775,2026-2,TCC00200,,A1,encontros_exatos,segunda 16:00-18:00; quarta 16:00-18:00,Seg 16:00-18:00; Qua 16:00-18:00,15,10,1,turma_sem_identificador_no_pdf,Oferta do PDF sem identificador de turma vinculada à turma única 'A1' do sistema pelo horário exato (Seg 16:00-18:00; Qua 16:00-18:00),
2026-2-TCC00203-SEM-TURMA,/graduacao/quadrodehorarios/turmas/100000462780,2026-2,TCC00203,,A1,encontros_exatos,segunda 14:00-18:00,Seg 14:00-18:00,19,12,1,turma_sem_identificador_no_pdf,Oferta do PDF sem identificador de turma vinculada à turma única 'A1' do sistema pelo horário exato (Seg 14:00-18:00),
2026-2-TCC00234-SEM-TURMA,/graduacao/quadrodehorarios/turmas/100000457760,2026-2,TCC00234,,A1,encontros_exatos,segunda 09:00-11:00; quarta 09:00-11:00,Seg 09:00-11:00; Qua 09:00-11:00,10,10,1,turma_sem_identificador_no_pdf,Oferta do PDF sem identificador de turma vinculada à turma única 'A1' do sistema pelo horário exato (Seg 09:00-11:00; Qua 09:00-11:00),
2026-2-TCC00242-SEM-TURMA,/graduacao/quadrodehorarios/turmas/100000462772,2026-2,TCC00242,,A1,encontros_exatos,segunda 11:00-13:00; quarta 11:00-13:00,Seg 11:00-13:00; Qua 11:00-13:00,21,16,1,turma_sem_identificador_no_pdf,Oferta do PDF sem identificador de turma vinculada à turma única 'A1' do sistema pelo horário exato (Seg 11:00-13:00; Qua 11:00-13:00),
2026-2-TCC00243-SEM-TURMA,/graduacao/quadrodehorarios/turmas/100000462773,2026-2,TCC00243,,A1,encontros_exatos,terca 09:00-11:00; quinta 09:00-11:00,Ter 09:00-11:00; Qui 09:00-11:00,18,7,1,turma_sem_identificador_no_pdf,Oferta do PDF sem identificador de turma vinculada à turma única 'A1' do sistema pelo horário exato (Ter 09:00-11:00; Qui 09:00-11:00),
2026-2-TCC00245-SEM-TURMA,/graduacao/quadrodehorarios/turmas/100000462771,2026-2,TCC00245,,A1,encontros_exatos,segunda 18:00-20:00; sexta 20:00-22:00,Seg 18:00-20:00; Sex 20:00-22:00,19,16,1,turma_sem_identificador_no_pdf,Oferta do PDF sem identificador de turma vinculada à turma única 'A1' do sistema pelo horário exato (Seg 18:00-20:00; Sex 20:00-22:00),
2026-2-TCC00252-SEM-TURMA,/graduacao/quadrodehorarios/turmas/100000462770,2026-2,TCC00252,,A1,encontros_exatos,segunda 16:00-18:00; quarta 16:00-18:00,Seg 16:00-18:00; Qua 16:00-18:00,16,15,1,turma_sem_identificador_no_pdf,Oferta do PDF sem identificador de turma vinculada à turma única 'A1' do sistema pelo horário exato (Seg 16:00-18:00; Qua 16:00-18:00),
2026-2-TCC00259-SEM-TURMA,/graduacao/quadrodehorarios/turmas/100000462769,2026-2,TCC00259,,A1,encontros_exatos,segunda 16:00-18:00; quarta 16:00-18:00,Seg 16:00-18:00; Qua 16:00-18:00,40,17,1,turma_sem_identificador_no_pdf,Oferta do PDF sem identificador de turma vinculada à turma única 'A1' do sistema pelo horário exato (Seg 16:00-18:00; Qua 16:00-18:00),
2026-2-TCC00265-SEM-TURMA,/graduacao/quadrodehorarios/turmas/100000462768,2026-2,TCC00265,,A1,encontros_exatos,segunda 16:00-18:00; quarta 16:00-18:00,Seg 16:00-18:00; Qua 16:00-18:00,10,5,1,turma_sem_identificador_no_pdf,Oferta do PDF sem identificador de turma vinculada à turma única 'A1' do sistema pelo horário exato (Seg 16:00-18:00; Qua 16:00-18:00),
2026-2-TCC00271-SEM-TURMA,/graduacao/quadrodehorarios/turmas/100000462779,2026-2,TCC00271,,A1,encontros_exatos,segunda 16:00-18:00; quarta 16:00-18:00,Seg 16:00-18:00; Qua 16:00-18:00,30,30,1,turma_sem_identificador_no_pdf,Oferta do PDF sem identificador de turma vinculada à turma única 'A1' do sistema pelo horário exato (Seg 16:00-18:00; Qua 16:00-18:00),
2026-2-TCC00301-A-A/B-A,/graduacao/quadrodehorarios/turmas/100000462109,2026-2,TCC00301,A-A/B-A,AA,turma_contida_e_encontros_contidos,terca 11:00-13:00; quinta 11:00-13:00,Ter 11:00-13:00,35,35,1,expansao_linha_compactada,Linha compactada 'A-A/B-A' do PDF expandida na turma 'AA' do sistema conforme subconjunto de encontros (Ter 11:00-13:00),
2026-2-TCC00301-A-A/B-A,/graduacao/quadrodehorarios/turmas/100000462110,2026-2,TCC00301,A-A/B-A,BA,turma_contida_e_encontros_contidos,terca 11:00-13:00; quinta 11:00-13:00,Qui 11:00-13:00,35,27,1,expansao_linha_compactada,Linha compactada 'A-A/B-A' do PDF expandida na turma 'BA' do sistema conforme subconjunto de encontros (Qui 11:00-13:00),
2026-2-TCC00344-A1,/graduacao/quadrodehorarios/turmas/100000462111,2026-2,TCC00344,A1,AA,encontros_exatos,segunda 07:00-09:00; quarta 07:00-09:00,Seg 07:00-09:00; Qua 07:00-09:00,60,55,1,turma_normalizada,Turma no PDF 'A1' vinculada à turma 'AA' do sistema pelo método encontros_exatos (Seg 07:00-09:00; Qua 07:00-09:00),
