id,laboratorio_inferido,recursos_inferidos,capacidade,fonte_tipo,capacidade_fonte
202,False,,,sem classificação oficial de recurso,não disponível nos PDFs
204,False,,,sem classificação oficial de recurso,não disponível nos PDFs
206,False,,,sem classificação oficial de recurso,não disponível nos PDFs
213,False,,,sem classificação oficial de recurso,não disponível nos PDFs
215,False,,,sem classificação oficial de recurso,não disponível nos PDFs
217,False,,,sem classificação oficial de recurso,não disponível nos PDFs
302,False,,,sem classificação oficial de recurso,não disponível nos PDFs
304,False,,,sem classificação oficial de recurso,não disponível nos PDFs
306,False,,,sem classificação oficial de recurso,não disponível nos PDFs
308,False,,,sem classificação oficial de recurso,não disponível nos PDFs
313,False,,,sem classificação oficial de recurso,não disponível nos PDFs
315,False,,,sem classificação oficial de recurso,não disponível nos PDFs
317,False,,,sem classificação oficial de recurso,não disponível nos PDFs
319,False,,,sem classificação oficial de recurso,não disponível nos PDFs
321,False,,,sem classificação oficial de recurso,não disponível nos PDFs
404B,False,,,sem classificação oficial de recurso,não disponível nos PDFs
L302,True,laboratorio,,prefixo L no quadro observado,não disponível nos PDFs
L303,True,laboratorio,,prefixo L no quadro observado,não disponível nos PDFs
L304,True,laboratorio,,prefixo L no quadro observado,não disponível nos PDFs
L305,True,laboratorio,,prefixo L no quadro observado,não disponível nos PDFs
L306,True,laboratorio,,prefixo L no quadro observado,não disponível nos PDFs
L307,True,laboratorio,,prefixo L no quadro observado,não disponível nos PDFs
