id,laboratorio,capacidade,capacidade_minima_observada,capacidade_fonte
202,False,,61,limite inferior pelas vagas das turmas observadas; não é capacidade física
204,False,,63,limite inferior pelas vagas das turmas observadas; não é capacidade física
206,False,,70,limite inferior pelas vagas das turmas observadas; não é capacidade física
213,False,,68,limite inferior pelas vagas das turmas observadas; não é capacidade física
215,False,,75,limite inferior pelas vagas das turmas observadas; não é capacidade física
217,False,,63,limite inferior pelas vagas das turmas observadas; não é capacidade física
302,False,,62,limite inferior pelas vagas das turmas observadas; não é capacidade física
304,False,,24,limite inferior pelas vagas das turmas observadas; não é capacidade física
306,False,,50,limite inferior pelas vagas das turmas observadas; não é capacidade física
308,False,,52,limite inferior pelas vagas das turmas observadas; não é capacidade física
313,False,,52,limite inferior pelas vagas das turmas observadas; não é capacidade física
315,False,,15,limite inferior pelas vagas das turmas observadas; não é capacidade física
317,False,,47,limite inferior pelas vagas das turmas observadas; não é capacidade física
319,False,,60,limite inferior pelas vagas das turmas observadas; não é capacidade física
321,False,,64,limite inferior pelas vagas das turmas observadas; não é capacidade física
404B,False,,87,limite inferior pelas vagas das turmas observadas; não é capacidade física
L302,True,,62,limite inferior pelas vagas das turmas observadas; não é capacidade física
L303,True,,47,limite inferior pelas vagas das turmas observadas; não é capacidade física
L304,True,,62,limite inferior pelas vagas das turmas observadas; não é capacidade física
L305,True,,50,limite inferior pelas vagas das turmas observadas; não é capacidade física
L306,True,,62,limite inferior pelas vagas das turmas observadas; não é capacidade física
L307,True,,49,limite inferior pelas vagas das turmas observadas; não é capacidade física
