id,semestre,codigo,codigo_original,codigo_interno,disciplina,turma,turma_original,origem_codigo,categoria_observada,alocacao,professores,professores_qtd,alocacao_original,normalizacao_docente_verificada,status,pendencias,pagina_pdf,posicao_y,arquivo_origem
2026-1-TCC00284-A1,2026-1,TCC00284,TCC00284,TCC00284,ALGORITMOS EM GRAFOS,A1,A1,IC,nao_informada,Luis Felipe,Luis Felipe,1,LUIS FELIPE,True,ativa,,1,75.295,dados/brutos/QH-2026-1.pdf
2026-1-TCC00285-A1,2026-1,TCC00285,TCC00285,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,A1,A1,IC,nao_informada,Fabio,Fabio,1,FABIO PROTTI,True,ativa,,1,103.855,dados/brutos/QH-2026-1.pdf
2026-1-TCC00285-B1,2026-1,TCC00285,TCC00285,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,B1,B1,IC,nao_informada,Loana,Loana,1,LOANA TITO NOGUEIRA,True,ativa,,1,132.415,dados/brutos/QH-2026-1.pdf
2026-1-TCC00286-A1,2026-1,TCC00286,TCC00286,TCC00286,ARQUITETURAS DE COMPUTADORES,A1,A1,IC,nao_informada,Vinod,Vinod,1,EUGENE VINOD,True,ativa,,1,160.975,dados/brutos/QH-2026-1.pdf
2026-1-TCC00349-A1,2026-1,TCC00349,TCC00349,TCC00349,AVALIAÇÃO DE DESEMPENHO,A1,A1,IC,nao_informada,Guto,Guto,1,ANTONIO AUGUSTO,True,ativa,,1,189.535,dados/brutos/QH-2026-1.pdf
2026-1-TCC00287-A1,2026-1,TCC00287,TCC00287,TCC00287,BANCO DE DADOS I,A1,A1,IC,nao_informada,Luiz Andre,Luiz Andre,1,LUIZ ANDRE,True,ativa,,1,218.095,dados/brutos/QH-2026-1.pdf
2026-1-TCC00288-A1,2026-1,TCC00288,TCC00288,TCC00288,BANCO DE DADOS II,A1,A1,IC,nao_informada,Rodrigo,Rodrigo,1,RODRIGO SALVADOR,True,ativa,,1,246.655,dados/brutos/QH-2026-1.pdf
2026-1-TCC00336-A1,2026-1,TCC00336,TCC00336,TCC00336,BANCOS DE DADOS NÃO CONVENCIONAIS,A1,A1,IC,nao_informada,Daniel,Daniel,1,DANIEL CARDOSO,True,ativa,,1,275.215,dados/brutos/QH-2026-1.pdf
2026-1-TCC00336-Z1,2026-1,TCC00336,TCC00336,TCC00336,BANCOS DE DADOS NÃO CONVENCIONAIS,Z1,Z1,IC,nao_informada,Marcos Bedo,Marcos Bedo,1,MARCOS BEDO,True,ativa,,1,303.775,dados/brutos/QH-2026-1.pdf
2026-1-TCC00289-A1,2026-1,TCC00289,TCC00289,TCC00289,COMPILADORES,A1,A1,IC,nao_informada,Bruno,Bruno,1,BRUNO LOPES VIEIRA,True,ativa,,1,332.335,dados/brutos/QH-2026-1.pdf
2026-1-TCC00290-A1,2026-1,TCC00290,TCC00290,TCC00290,COMPUTAÇÃO E SOCIEDADE,A1,A1,IC,nao_informada,Jose Raphael,Jose Raphael,1,JOSE RAPHAEL BOKEHI,True,ativa,,1,360.895,dados/brutos/QH-2026-1.pdf
2026-1-TCC00222-A1,2026-1,TCC00222,TCC00222,TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SI,A1,A1,IC,nao_informada,Marcelo Fornazin,Marcelo Fornazin,1,MARCELO FORNAZIN,True,ativa,,1,389.455,dados/brutos/QH-2026-1.pdf
2026-1-TCC00291-A1,2026-1,TCC00291,TCC00291,TCC00291,COMPUTAÇÃO GRÁFICA,A1,A1,IC,nao_informada,Aura,Aura,1,AURA CONCI,True,ativa,,1,418.015,dados/brutos/QH-2026-1.pdf
2026-1-TCC00226-A1,2026-1,TCC00226,TCC00226,TCC00226,DESENVOLVIMENTO WEB,A1,A1,IC,nao_informada,Carlos Ribeiro,Carlos Ribeiro,1,CARLOS ALBERTO SOARES,True,ativa,,1,446.575,dados/brutos/QH-2026-1.pdf
2026-1-TCC00225-A1,2026-1,TCC00225,TCC00225,TCC00225,ENGENHARIA DE SOFTWARE,A1,A1,IC,nao_informada,Rebeca,Rebeca,1,REBECA CAMPOS MOTTA,True,ativa,,1,475.135,dados/brutos/QH-2026-1.pdf
2026-1-TCC00292-A1,2026-1,TCC00292,TCC00292,TCC00292,ENGENHARIA DE SOFTWARE I,A1,A1,IC,nao_informada,Leo Murta,Leo Murta,1,LEONARDO GRESTA MURTA,True,ativa,,1,503.695,dados/brutos/QH-2026-1.pdf
2026-1-TCC00293-A1,2026-1,TCC00293,TCC00293,TCC00293,ENGENHARIA DE SOFTWARE II,A1,A1,IC,nao_informada,Troy,Troy,1,TROY COSTA KOHWALTER,True,ativa,,1,532.255,dados/brutos/QH-2026-1.pdf
2026-1-TCC00348-A1,2026-1,TCC00348,TCC00348,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,A1,A1,IC,nao_informada,Rosseti,Rosseti,1,ISABEL ROSSETI,True,ativa,,2,52.735,dados/brutos/QH-2026-1.pdf
2026-1-TCC00348-B1,2026-1,TCC00348,TCC00348,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,B1,B1,IC,nao_informada,Vanessa,Vanessa,1,VANESSA BRAGANHOLO,True,ativa,,2,81.295,dados/brutos/QH-2026-1.pdf
2026-1-TCC00331-A1,2026-1,TCC00331,TCC00331,TCC00331,ESTRUTURAS DE DADOS PARA SI,A1,A1,IC,nao_informada,Igor Machado,Igor Machado,1,IGOR COELHO,True,ativa,,2,109.855,dados/brutos/QH-2026-1.pdf
2026-1-TCC00331-B1,2026-1,TCC00331,TCC00331,TCC00331,ESTRUTURAS DE DADOS PARA SI,B1,B1,IC,nao_informada,Raphael Machado,Raphael Machado,1,RAPHAEL MACHADO,True,ativa,,2,138.415,dados/brutos/QH-2026-1.pdf
2026-1-TCC00371-A1,2026-1,TCC00371,TCC00371,TCC00371,ÉTICA EM INT. ARTIFICIAL E CIÊNCIA DE DADOS,A1,A1,IC,nao_informada,Mariza,Mariza,1,MARIZA FERRO,True,ativa,,2,166.975,dados/brutos/QH-2026-1.pdf
2026-1-TCC00296-A1,2026-1,TCC00296,TCC00296,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,A1,A1,IC,nao_informada,Vinod,Vinod,1,EUGENE FRANCIS VINOD,True,ativa,,2,195.535,dados/brutos/QH-2026-1.pdf
2026-1-TCC00296-B1,2026-1,TCC00296,TCC00296,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,B1,B1,IC,nao_informada,Aline Nascimento,Aline Nascimento,1,ALINE NASCIMENTO,True,ativa,,2,224.095,dados/brutos/QH-2026-1.pdf
2026-1-TCC00332-A1,2026-1,TCC00332,TCC00332,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,A1,A1,IC,nao_informada,Leo Cruz,Leo Cruz,1,LEONARDO CRUZ,True,ativa,,2,252.655,dados/brutos/QH-2026-1.pdf
2026-1-TCC00332-B1,2026-1,TCC00332,TCC00332,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,B1,B1,IC,nao_informada,Leo Cruz,Leo Cruz,1,LEONARDO CRUZ,True,ativa,,2,281.215,dados/brutos/QH-2026-1.pdf
2026-1-TCC00354-A1,2026-1,TCC00354,TCC00354,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,A1,A1,IC,nao_informada,Raquel,Raquel,1,RAQUEL BRAVO,True,ativa,,2,309.775,dados/brutos/QH-2026-1.pdf
2026-1-TCC00354-B1,2026-1,TCC00354,TCC00354,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,B1,B1,IC,nao_informada,Martinhon,Martinhon,1,CARLOS MARTINHON,True,ativa,,2,338.335,dados/brutos/QH-2026-1.pdf
2026-1-TCC00363-A1,2026-1,TCC00363,TCC00363,TCC00363,GERÊNCIA DE PROJETOS E MANUT DE SOFTWARE,A1,A1,IC,nao_informada,Joao Pimentel,Joao Pimentel,1,JOÃO PIMENTEL,True,ativa,,2,366.895,dados/brutos/QH-2026-1.pdf
2026-1-TCC00324-A1,2026-1,TCC00324,TCC00324,TCC00324,GOVERNANÇA EM TECNOLOGIA DA INFORMAÇÃO,A1,A1,IC,nao_informada,Luciana,Luciana,1,LUCIANA SALGADO,True,ativa,,2,395.455,dados/brutos/QH-2026-1.pdf
2026-1-TCC00297-A1,2026-1,TCC00297,TCC00297,TCC00297,INTELIGÊNCIA ARTIFICIAL,A1,A1,IC,nao_informada,Taiane,Taiane,1,TAIANE COELHO,True,ativa,,2,424.015,dados/brutos/QH-2026-1.pdf
2026-1-TCC00298-A1,2026-1,TCC00298,TCC00298,TCC00298,INTERFACE HOMEM-MÁQUINA,A1,A1,IC,nao_informada,Daniela,Daniela,1,DANIELA TREVISAN,True,ativa,,2,452.575,dados/brutos/QH-2026-1.pdf
2026-1-TCC00337-A1,2026-1,TCC00337,TCC00337,TCC00337,INTRODUÇÃO A INTERAÇÃO HUMANO-COMPUTADOR,A1,A1,IC,nao_informada,Luciana,Luciana,1,LUCIANA SALGADO,True,ativa,,2,481.135,dados/brutos/QH-2026-1.pdf
2026-1-TCC00361-A1,2026-1,TCC00361,TCC00361,TCC00361,INTRODUÇÃO AO DESENVOLVIMENTO WEB,A1,A1,IC,nao_informada,Paulo Pires,Paulo Pires,1,PAULO PIRES,True,ativa,,2,509.695,dados/brutos/QH-2026-1.pdf
2026-1-TCC00301-AA,2026-1,TCC00301,TCC00301,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,AA,AA,IC,nao_informada,Esteban,Esteban,1,ESTEBAN CLUA,True,ativa,,3,52.735,dados/brutos/QH-2026-1.pdf
2026-1-TCC00301-BA,2026-1,TCC00301,TCC00301,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,BA,BA,IC,nao_informada,Esteban,Esteban,1,ESTEBAN CLUA,True,ativa,,3,81.295,dados/brutos/QH-2026-1.pdf
