id,semestre,curso,periodo,grupos_curriculares,codigo,disciplina,turma,turma_pdf,origem,alocacao,professores,capacidade,inscritos,obrigatoria,compartilhada_cc_si,compartilhada_vagas_cc_si,turma_url,metodo_vinculo
2026-1-CGI00004-A1,2026-1,SI,,SI-P1,CGI00004,SEMINÁRIOS EM SISTEMAS DE INFORMAÇÃO,A1,A1,externa,Raphael Guerra,Raphael Guerra,71,64,True,False,True,/graduacao/quadrodehorarios/turmas/100000451007,turma_exata
2026-1-TCC00195-A1,2026-1,CC,,CC-OPT,TCC00195,METAHEURÍSTICAS Pós: Inteligência Computacional,A1,A1,IC,Satoru,Satoru,15,6,False,False,True,/graduacao/quadrodehorarios/turmas/100000447684,turma_e_encontros_exatos
2026-1-TCC00205-A1,2026-1,CC,,CC-OPT,TCC00205,LINGUAGENS DE PROGRAMAÇÃO EM LÓGICA Pós: Lógica,A1,A1,IC,Mario,Mario,20,9,False,False,True,/graduacao/quadrodehorarios/turmas/100000447676,turma_e_encontros_exatos
2026-1-TCC00222-A1,2026-1,SI,,SI-P8,TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SI,A1,A1,IC,Marcelo Fornazin,Marcelo Fornazin,48,34,True,False,True,/graduacao/quadrodehorarios/turmas/100000447046,turma_e_encontros_exatos
2026-1-TCC00225-A1,2026-1,SI,,SI-P5,TCC00225,ENGENHARIA DE SOFTWARE,A1,A1,IC,Rebeca,Rebeca,54,51,True,False,False,/graduacao/quadrodehorarios/turmas/100000447051,turma_e_encontros_exatos
2026-1-TCC00226-A1,2026-1,CC,,CC-P5,TCC00226,DESENVOLVIMENTO WEB,A1,A1,IC,Carlos Ribeiro,Carlos Ribeiro,60,56,True,False,False,/graduacao/quadrodehorarios/turmas/100000447049,turma_e_encontros_exatos
2026-1-TCC00230-A1,2026-1,CC;SI,,CC-OPT;SI-OPT,TCC00230,TÓPICOS ESPECIAIS EM SEGURANÇA DA INFORMAÇÃO Pós: Criptografia,A1,A1,IC,Kowada,Kowada,59,47,False,True,True,/graduacao/quadrodehorarios/turmas/100000447675,turma_e_encontros_exatos
2026-1-TCC00241-A1,2026-1,CC;SI,,CC-OPT;SI-OPT,TCC00241,TÓPICOS EM COMPUTAÇÃO I Pós: Visão Computacional,A1,A1,IC,Leandro Fernandes,Leandro Fernandes,21,9,False,True,True,/graduacao/quadrodehorarios/turmas/100000447294,turma_e_encontros_exatos
2026-1-TCC00242-A1,2026-1,CC;SI,,CC-OPT;SI-OPT,TCC00242,TÓPICOS EM COMPUTAÇÃO II,A1,A1,IC,Martinhon,Martinhon,43,9,False,True,True,/graduacao/quadrodehorarios/turmas/100000448424,turma_e_encontros_exatos
2026-1-TCC00244-A1,2026-1,CC;SI,,CC-OPT;SI-OPT,TCC00244,TÓPICOS EM BANCO DE DADOS I Pós: eScience,A1,A1,IC,Vanessa,Vanessa,40,36,False,True,True,/graduacao/quadrodehorarios/turmas/100000447305,turma_e_encontros_exatos
2026-1-TCC00250-A1,2026-1,CC;SI,,CC-OPT;SI-OPT,TCC00250,TÓPICOS EM ENGENHARIA DE SOFWARE I Pós: Game Analytics,A1,A1,IC,Troy,Troy,39,27,False,True,True,/graduacao/quadrodehorarios/turmas/100000447308,turma_e_encontros_exatos
2026-1-TCC00251-A1,2026-1,CC;SI,,CC-OPT;SI-OPT,TCC00251,TÓPICOS EM ENGENHARIA DE SOFWARE II Pós: Controle de Versão,A1,A1,IC,Leo Murta,Leo Murta,10,3,False,True,True,/graduacao/quadrodehorarios/turmas/100000447674,turma_e_encontros_exatos
