semestre,codigo,disciplina,turma,turma_url,docentes,horario,padrao_dias,cursos_busca,compartilhada_busca_cc_si,codigos_cursos_com_vagas,compartilhada_vagas_cc_si,vagas,inscritos,vagas_cc,inscritos_cc,vagas_si,inscritos_si,vagas_outros_cursos,inscritos_outros_cursos,vagas_por_curso_json,fonte
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,D1,/graduacao/quadrodehorarios/turmas/100000452657,,Sab 14:00-18:00,Sab,SI,False,83,False,3,3,0,0,3,3,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,F1,/graduacao/quadrodehorarios/turmas/100000452662,,Sab 14:00-18:00,Sab,SI,False,83,False,8,8,0,0,8,8,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":8,""vagas_vestibulando"":0,""vagas"":8,""inscritos_regular"":8,""inscritos_vestibulando"":0,""inscritos"":8}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,G1,/graduacao/quadrodehorarios/turmas/100000452666,,Sab 14:00-18:00,Sab,SI,False,83,False,3,3,0,0,3,3,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,M1,/graduacao/quadrodehorarios/turmas/100000452663,,Sab 14:00-18:00,Sab,SI,False,83,False,1,1,0,0,1,1,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,M2,/graduacao/quadrodehorarios/turmas/100000452664,,Sab 14:00-18:00,Sab,SI,False,83,False,2,2,0,0,2,2,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,M3,/graduacao/quadrodehorarios/turmas/100000452665,,Sab 14:00-18:00,Sab,SI,False,83,False,2,2,0,0,2,2,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,R1,/graduacao/quadrodehorarios/turmas/100000452656,,Sab 14:00-18:00,Sab,SI,False,83,False,2,2,0,0,2,2,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,R2,/graduacao/quadrodehorarios/turmas/100000452658,,Sab 14:00-18:00,Sab,SI,False,83,False,7,7,0,0,7,7,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":7,""vagas_vestibulando"":0,""vagas"":7,""inscritos_regular"":7,""inscritos_vestibulando"":0,""inscritos"":7}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,R3,/graduacao/quadrodehorarios/turmas/100000452659,,Sab 14:00-18:00,Sab,SI,False,83,False,5,5,0,0,5,5,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":5,""inscritos_vestibulando"":0,""inscritos"":5}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
2026-1,CGI00002,PROJETO DE APLICAÇÃO I,R4,/graduacao/quadrodehorarios/turmas/100000452660,,Sab 14:00-18:00,Sab,SI,False,83,False,3,3,0,0,3,3,0,0,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3}]",Quadro de Horários UFF — páginas públicas de listagem e detalhe
