turma_id,semestre,codigo,disciplina_pdf,turma_pdf,turma_web,turma_url,metodo_vinculo,docentes_web,horario_web,cursos_busca,codigos_cursos_com_vagas,vagas,inscritos,vagas_cc,inscritos_cc,vagas_si,inscritos_si,vagas_outros_cursos,inscritos_outros_cursos,compartilhada_vagas_cc_si,curriculos,grupos_curriculares,compartilhada_curriculos_cc_si,obrigatoria,vagas_por_curso_json,fonte
2026-1-CGI00004-A1,2026-1,CGI00004,SEMINÁRIOS EM SISTEMAS DE INFORMAÇÃO,A1,A1,/graduacao/quadrodehorarios/turmas/100000451007,turma_exata,,Sex 18:00-20:00,SI,31;83,71,64,2,1,69,63,0,0,True,SI,SI-P1,False,True,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":8,""vagas_vestibulando"":61,""vagas"":69,""inscritos_regular"":5,""inscritos_vestibulando"":58,""inscritos"":63},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00195-A1,2026-1,TCC00195,METAHEURÍSTICAS Pós: Inteligência Computacional,A1,A1,/graduacao/quadrodehorarios/turmas/100000447684,turma_e_encontros_exatos,,Ter 11:00-13:00; Qui 11:00-13:00,CC,31;83,15,6,10,5,5,1,0,0,True,CC,CC-OPT,False,False,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":10,""vagas_vestibulando"":0,""vagas"":10,""inscritos_regular"":5,""inscritos_vestibulando"":0,""inscritos"":5}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00205-A1,2026-1,TCC00205,LINGUAGENS DE PROGRAMAÇÃO EM LÓGICA Pós: Lógica,A1,A1,/graduacao/quadrodehorarios/turmas/100000447676,turma_e_encontros_exatos,,Qua 16:00-20:00,CC,31;83,20,9,10,8,10,1,0,0,True,CC,CC-OPT,False,False,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":10,""vagas_vestibulando"":0,""vagas"":10,""inscritos_regular"":8,""inscritos_vestibulando"":0,""inscritos"":8},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":10,""vagas_vestibulando"":0,""vagas"":10,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00222-A1,2026-1,TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SI,A1,A1,/graduacao/quadrodehorarios/turmas/100000447046,turma_e_encontros_exatos,,Qui 18:00-22:00,SI,31;41;83,48,34,3,2,44,32,1,0,True,SI,SI-P8,False,True,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":39,""vagas_vestibulando"":5,""vagas"":44,""inscritos_regular"":32,""inscritos_vestibulando"":0,""inscritos"":32},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""41"",""curso"":""Engenharia de Telecomunicações"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00225-A1,2026-1,TCC00225,ENGENHARIA DE SOFTWARE,A1,A1,/graduacao/quadrodehorarios/turmas/100000447051,turma_e_encontros_exatos,,Ter 18:00-20:00; Qui 18:00-20:00,SI,83,54,51,0,0,54,51,0,0,False,SI,SI-P5,False,True,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":52,""vagas_vestibulando"":2,""vagas"":54,""inscritos_regular"":51,""inscritos_vestibulando"":0,""inscritos"":51}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00226-A1,2026-1,TCC00226,DESENVOLVIMENTO WEB,A1,A1,/graduacao/quadrodehorarios/turmas/100000447049,turma_e_encontros_exatos,,Seg 09:00-11:00; Qua 09:00-11:00,CC,31,60,56,60,56,0,0,0,0,False,CC,CC-P5,False,True,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":60,""vagas_vestibulando"":0,""vagas"":60,""inscritos_regular"":56,""inscritos_vestibulando"":0,""inscritos"":56}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00230-A1,2026-1,TCC00230,TÓPICOS ESPECIAIS EM SEGURANÇA DA INFORMAÇÃO Pós: Criptografia,A1,A1,/graduacao/quadrodehorarios/turmas/100000447675,turma_e_encontros_exatos,,Sex 09:00-13:00,CC;SI,31;41;83,59,47,52,43,5,2,2,2,True,CC;SI,CC-OPT;SI-OPT,True,False,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":52,""vagas_vestibulando"":0,""vagas"":52,""inscritos_regular"":43,""inscritos_vestibulando"":0,""inscritos"":43},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""41"",""curso"":""Engenharia de Telecomunicações"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00241-A1,2026-1,TCC00241,TÓPICOS EM COMPUTAÇÃO I Pós: Visão Computacional,A1,A1,/graduacao/quadrodehorarios/turmas/100000447294,turma_e_encontros_exatos,,Ter 14:00-16:00; Qui 14:00-16:00,CC;SI,20;31;37;38;40;41;83;97,21,9,12,8,3,0,6,1,True,CC;SI,CC-OPT;SI-OPT,True,False,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":12,""vagas_vestibulando"":0,""vagas"":12,""inscritos_regular"":8,""inscritos_vestibulando"":0,""inscritos"":8},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""38"",""curso"":""Engenharia Elétrica"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""41"",""curso"":""Engenharia de Telecomunicações"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""40"",""curso"":""Engenharia Mecânica"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""37"",""curso"":""Engenharia Civil"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""20"",""curso"":""Matemática"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""97"",""curso"":""Disciplina Isolada"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00242-A1,2026-1,TCC00242,TÓPICOS EM COMPUTAÇÃO II,A1,A1,/graduacao/quadrodehorarios/turmas/100000448424,turma_e_encontros_exatos,,Ter 18:00-20:00; Qui 18:00-20:00,CC;SI,31;83,43,9,10,1,33,8,0,0,True,CC;SI,CC-OPT;SI-OPT,True,False,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":30,""vagas_vestibulando"":3,""vagas"":33,""inscritos_regular"":8,""inscritos_vestibulando"":0,""inscritos"":8},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":10,""vagas_vestibulando"":0,""vagas"":10,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00244-A1,2026-1,TCC00244,TÓPICOS EM BANCO DE DADOS I Pós: eScience,A1,A1,/graduacao/quadrodehorarios/turmas/100000447305,turma_e_encontros_exatos,,Ter 07:00-09:00; Qui 07:00-09:00,CC;SI,31;83,40,36,33,30,7,6,0,0,True,CC;SI,CC-OPT;SI-OPT,True,False,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":33,""vagas_vestibulando"":0,""vagas"":33,""inscritos_regular"":30,""inscritos_vestibulando"":0,""inscritos"":30},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":7,""vagas_vestibulando"":0,""vagas"":7,""inscritos_regular"":6,""inscritos_vestibulando"":0,""inscritos"":6}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00250-A1,2026-1,TCC00250,TÓPICOS EM ENGENHARIA DE SOFWARE I Pós: Game Analytics,A1,A1,/graduacao/quadrodehorarios/turmas/100000447308,turma_e_encontros_exatos,,Ter 11:00-13:00; Qui 11:00-13:00,CC;SI,31;41;83;97,39,27,27,22,10,3,2,2,True,CC;SI,CC-OPT;SI-OPT,True,False,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":27,""vagas_vestibulando"":0,""vagas"":27,""inscritos_regular"":22,""inscritos_vestibulando"":0,""inscritos"":22},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":10,""vagas_vestibulando"":0,""vagas"":10,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3},{""codigo_curso"":""97"",""curso"":""Disciplina Isolada"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""41"",""curso"":""Engenharia de Telecomunicações"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00251-A1,2026-1,TCC00251,TÓPICOS EM ENGENHARIA DE SOFWARE II Pós: Controle de Versão,A1,A1,/graduacao/quadrodehorarios/turmas/100000447674,turma_e_encontros_exatos,,Seg 07:00-09:00; Qua 07:00-09:00,CC;SI,31;83,10,3,5,2,5,1,0,0,True,CC;SI,CC-OPT;SI-OPT,True,False,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00253-A1,2026-1,TCC00253,TÓPICOS ESPECIAIS EM SISTEMAS DE PROGRAMAÇÃO I,A1,A1,/graduacao/quadrodehorarios/turmas/100000447809,turma_e_encontros_exatos,,Sex 18:00-22:00,CC;SI,31;83,46,43,13,12,33,31,0,0,True,CC;SI,CC-OPT;SI-OPT,True,False,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":33,""vagas_vestibulando"":0,""vagas"":33,""inscritos_regular"":31,""inscritos_vestibulando"":0,""inscritos"":31},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":13,""vagas_vestibulando"":0,""vagas"":13,""inscritos_regular"":12,""inscritos_vestibulando"":0,""inscritos"":12}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00259-A1,2026-1,TCC00259,TÓPICOS EM INTELIGÊNCIA ARTIFICIAL I Aprendizado Profundo,A1,A1,/graduacao/quadrodehorarios/turmas/100000447679,turma_e_encontros_exatos,,Ter 14:00-16:00; Qui 14:00-16:00,CC,31,30,11,30,11,0,0,0,0,False,CC;SI,CC-OPT;SI-OPT,True,False,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":30,""vagas_vestibulando"":0,""vagas"":30,""inscritos_regular"":11,""inscritos_vestibulando"":0,""inscritos"":11}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00260-A1,2026-1,TCC00260,TÓPICOS EM INTELIGÊNCIA ARTIFICIAL II Pós: Aprendizado de Máquina,A1,A1,/graduacao/quadrodehorarios/turmas/100000447681,turma_e_encontros_exatos,,Ter 09:00-11:00; Qui 09:00-11:00,CC;SI,31;83,24,20,21,19,3,1,0,0,True,CC;SI,CC-OPT;SI-OPT,True,False,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":21,""vagas_vestibulando"":0,""vagas"":21,""inscritos_regular"":19,""inscritos_vestibulando"":0,""inscritos"":19},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00271-A1,2026-1,TCC00271,TÓPICOS EM LINGUAGEM DE PROGRAMAÇÃO I,A1,A1,/graduacao/quadrodehorarios/turmas/100000447240,turma_e_encontros_exatos,,Seg 16:00-18:00; Qua 16:00-18:00,CC;SI,31;83,36,31,26,23,10,8,0,0,True,CC;SI,CC-OPT;SI-OPT,True,False,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":26,""vagas_vestibulando"":0,""vagas"":26,""inscritos_regular"":23,""inscritos_vestibulando"":0,""inscritos"":23},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":10,""vagas_vestibulando"":0,""vagas"":10,""inscritos_regular"":8,""inscritos_vestibulando"":0,""inscritos"":8}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00280-A1,2026-1,TCC00280,COMPUTAÇÃO E MEIO AMBIENTE,A1,A1,/graduacao/quadrodehorarios/turmas/100000447680,turma_e_encontros_exatos,,Seg 14:00-18:00,CC;SI,31;83,35,29,25,23,10,6,0,0,True,CC;SI,CC-OPT;SI-OPT,True,False,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":25,""vagas_vestibulando"":0,""vagas"":25,""inscritos_regular"":23,""inscritos_vestibulando"":0,""inscritos"":23},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":10,""vagas_vestibulando"":0,""vagas"":10,""inscritos_regular"":6,""inscritos_vestibulando"":0,""inscritos"":6}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
