semestre,codigo,disciplina,turma,turma_url,docente,horario,padrao_dias,vagas,inscritos
2023/1,TEP00108,ADMINISTRAÇÃO APLICADA À ENGENHARIA,A1,/graduacao/quadrodehorarios/turmas/100000371812,Marcos Costa Roboredo,Seg 09:00-13:00,Seg,50,15
2023/1,TEP00108,ADMINISTRAÇÃO APLICADA À ENGENHARIA,B1,/graduacao/quadrodehorarios/turmas/100000371769,Valdecy Pereira,Seg 14:00-18:00,Seg,50,27
2023/1,TEP00108,ADMINISTRAÇÃO APLICADA À ENGENHARIA,C1,/graduacao/quadrodehorarios/turmas/100000371782,Valdecy Pereira,Seg 18:00-22:00,Seg,50,38
2023/1,TEP00108,ADMINISTRAÇÃO APLICADA À ENGENHARIA,F1,/graduacao/quadrodehorarios/turmas/100000371783,Anna Sophia Piacenza Moraes,Qui 07:00-11:00,Qui,50,17
2023/1,TEP00108,ADMINISTRAÇÃO APLICADA À ENGENHARIA,T1,/graduacao/quadrodehorarios/turmas/100000371784,Luiz Carlos Brasil de Brito Mello,Ter 09:00-13:00,Ter,50,23
2023/1,TCC00284,ALGORITMOS EM GRAFOS,A1,/graduacao/quadrodehorarios/turmas/100000371166,Ueverton dos Santos Souza,Seg 11:00-13:00; Qua 11:00-13:00,Seg-Qua,40,24
2023/1,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,A1,/graduacao/quadrodehorarios/turmas/100000371167,Carlos Alberto de Jesus Martinhon,Ter 09:00-11:00; Qui 09:00-11:00,Ter-Qui,51,49
2023/1,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,B1,/graduacao/quadrodehorarios/turmas/100000376670,Christiano de Oliveira Braga,Ter 09:00-11:00; Qui 09:00-11:00,Ter-Qui,32,6
2023/1,TCC00286,ARQUITETURAS DE COMPUTADORES,A1,/graduacao/quadrodehorarios/turmas/100000371168,Eugene Francis Vinod Rebello,Ter 09:00-11:00; Qui 09:00-11:00,Ter-Qui,49,46
2023/1,TCC00286,ARQUITETURAS DE COMPUTADORES,B1,/graduacao/quadrodehorarios/turmas/100000371248,Simone de Lima Martins,Seg 09:00-11:00; Qua 09:00-11:00,Seg-Qua,64,61
2023/1,TCC00349,AVALIAÇÃO DE DESEMPENHO,A1,/graduacao/quadrodehorarios/turmas/100000371169,Antonio Augusto de Aragao Rocha,Ter 09:00-11:00; Qui 09:00-11:00,Ter-Qui,60,59
2023/1,TCC00287,BANCO DE DADOS I,A1,/graduacao/quadrodehorarios/turmas/100000371170,Rodrigo Salvador Monteiro,Seg 09:00-11:00; Qua 09:00-11:00,Seg-Qua,60,59
2023/1,TCC00288,BANCO DE DADOS II,A1,/graduacao/quadrodehorarios/turmas/100000371171,Luiz Andre Portes Paes Leme,Seg 07:00-09:00; Qua 09:00-11:00,Seg-Qua,46,27
2023/1,TET00347,CIRCUITOS DIGITAIS PARA CIÊNCIA DA COMPUTAÇÃO,A1,/graduacao/quadrodehorarios/turmas/100000370250,Alexandre Santos de La Vega,Seg 14:00-16:00; Qua 14:00-16:00,Seg-Qua,45,40
2023/1,TET00347,CIRCUITOS DIGITAIS PARA CIÊNCIA DA COMPUTAÇÃO,B1,/graduacao/quadrodehorarios/turmas/100000370251,Joao Marcos Meirelles da Silva,Ter 14:00-16:00; Qui 14:00-16:00,Ter-Qui,45,42
2023/1,TCC00289,COMPILADORES,A1,/graduacao/quadrodehorarios/turmas/100000371173,Bruno Lopes Vieira,Qua 11:00-13:00; Sex 11:00-13:00,Qua-Sex,40,15
2023/1,GSI00433,COMPORTAMENTO ORGANIZACIONAL,A1,/graduacao/quadrodehorarios/turmas/100000365878,Francisco de Assis Palharini,Ter 18:00-20:00; Qui 18:00-20:00,Ter-Qui,60,54
2023/1,TCC00280,COMPUTAÇÃO E MEIO AMBIENTE,A1,/graduacao/quadrodehorarios/turmas/100000371731,Jose Raphael Bokehi,Seg 14:00-18:00,Seg,27,21
2023/1,TCC00290,COMPUTAÇÃO E SOCIEDADE,A1,/graduacao/quadrodehorarios/turmas/100000371242,Jose Raphael Bokehi,Qui 11:00-13:00,Qui,45,44
2023/1,TCC00291,COMPUTAÇÃO GRÁFICA,A1,/graduacao/quadrodehorarios/turmas/100000371175,Marcos de Oliveira Lage Ferreira,Sex 09:00-13:00,Sex,45,42
2023/1,GMA00154,CÁLCULO 1,C2,/graduacao/quadrodehorarios/turmas/100000373027,Emilia Carolina Santana Teixeira Alves,Seg 11:00-13:00; Qua 11:00-13:00,Seg-Qua,58,56
2023/1,GMA00154,CÁLCULO 1,J1,/graduacao/quadrodehorarios/turmas/100000369484,Antonio Nigro,Seg 14:00-16:00; Qua 14:00-16:00,Seg-Qua,30,27
2023/1,GMA00154,CÁLCULO 1,K1,/graduacao/quadrodehorarios/turmas/100000369652,Antonio Nigro,Seg 16:00-18:00; Qua 16:00-18:00,Seg-Qua,44,40
2023/1,GMA00154,CÁLCULO 1,M1,/graduacao/quadrodehorarios/turmas/100000369653,Andres Koropecki,Seg 18:00-20:00; Qua 18:00-20:00,Seg-Qua,36,26
2023/1,GMA00154,CÁLCULO 1,O1,/graduacao/quadrodehorarios/turmas/100000370051,Luciana Prado Mouta Pena,Ter 07:00-09:00; Qui 07:00-09:00,Ter-Qui,48,42
2023/1,GMA00154,CÁLCULO 1,Q1,/graduacao/quadrodehorarios/turmas/100000370191,Denise de Oliveira Pinto,Ter 09:00-11:00; Qui 09:00-11:00,Ter-Qui,42,45
2023/1,GMA00154,CÁLCULO 1,Z1,/graduacao/quadrodehorarios/turmas/100000370059,Gabriela Alexandra Estevez Jacinto,Ter 18:00-20:00; Qui 18:00-20:00,Ter-Qui,35,48
2023/1,GMA00155,CÁLCULO 2,C1,/graduacao/quadrodehorarios/turmas/100000370329,Pablo Gutierrez Barrientos,Ter 07:00-09:00; Qui 07:00-09:00,Ter-Qui,37,32
2023/1,GMA00155,CÁLCULO 2,D1,/graduacao/quadrodehorarios/turmas/100000370330,Cheng Xu,Ter 09:00-11:00; Qui 09:00-11:00,Ter-Qui,55,39
2023/1,GMA00155,CÁLCULO 2,F1,/graduacao/quadrodehorarios/turmas/100000370338,Cassio Iago Santos Marinho,Ter 11:00-13:00; Qui 11:00-13:00,Ter-Qui,54,54
2023/1,GMA00155,CÁLCULO 2,N1,/graduacao/quadrodehorarios/turmas/100000370353,Sergio Mariano Licanic,Ter 18:00-20:00; Qui 18:00-20:00,Ter-Qui,37,34
2023/1,GMA00155,CÁLCULO 2,P1,/graduacao/quadrodehorarios/turmas/100000376170,Artem Raibekas,Ter 11:00-13:00; Qui 11:00-13:00,Ter-Qui,38,35
2023/1,STA00168,DESENVOLVIMENTO DE PESSOAS,P1,/graduacao/quadrodehorarios/turmas/100000372282,Americo da Costa Ramos Filho,Ter 18:00-22:00,Ter,72,71
2023/1,TCC00226,DESENVOLVIMENTO WEB,A1,/graduacao/quadrodehorarios/turmas/100000371177,Carlos Alberto Soares Ribeiro,Seg 09:00-11:00; Sex 09:00-11:00,Seg-Sex,47,44
2023/1,TCC00226,DESENVOLVIMENTO WEB,B1,/graduacao/quadrodehorarios/turmas/100000371178,Leonardo Cruz da Costa,Qui 18:00-22:00,Qui,45,45
2023/1,TEP00109,ECONOMIA APLICADA À ENGENHARIA,T1,/graduacao/quadrodehorarios/turmas/100000371767,Marco Aurelio Cabral Pinto,Qua 18:00-22:00,Qua,50,32
2023/1,TCC00292,ENGENHARIA DE SOFTWARE I,A1,/graduacao/quadrodehorarios/turmas/100000371180,Troy Costa Kohwalter,Ter 11:00-13:00; Qui 11:00-13:00,Ter-Qui,47,41
2023/1,TCC00293,ENGENHARIA DE SOFTWARE II,A1,/graduacao/quadrodehorarios/turmas/100000371181,Leonardo Gresta Paulino Murta,Ter 07:00-09:00; Qui 07:00-09:00,Ter-Qui,64,62
2023/1,TEP00110,ENGENHARIA ECONÔMICA,B1,/graduacao/quadrodehorarios/turmas/100000371795,Silvia dos Reis Alcantara Duarte,Sex 07:00-09:00,Sex,50,14
2023/1,TEP00110,ENGENHARIA ECONÔMICA,C1,/graduacao/quadrodehorarios/turmas/100000371808,Silvia dos Reis Alcantara Duarte,Sex 09:00-11:00,Sex,50,27
2023/1,TEP00110,ENGENHARIA ECONÔMICA,D1,/graduacao/quadrodehorarios/turmas/100000371822,Silvia dos Reis Alcantara Duarte,Sex 11:00-13:00,Sex,50,8
2023/1,TEP00110,ENGENHARIA ECONÔMICA,E1,/graduacao/quadrodehorarios/turmas/100000371809,Silvia dos Reis Alcantara Duarte,Sex 14:00-16:00,Sex,48,11
2023/1,GET00177,ESTATÍSTICA BÁSICA,A1,/graduacao/quadrodehorarios/turmas/100000374798,Estelina Serrano de Marins Capistrano,Seg 14:00-16:00; Qua 14:00-16:00,Seg-Qua,47,39
2023/1,GET00177,ESTATÍSTICA BÁSICA,F1,/graduacao/quadrodehorarios/turmas/100000374821,Jose Murilo Ferraz Saraiva,Ter 16:00-18:00; Qui 16:00-18:00,Ter-Qui,60,51
2023/1,GET00177,ESTATÍSTICA BÁSICA,G1,/graduacao/quadrodehorarios/turmas/100000375393,Jose Murilo Ferraz Saraiva,Ter 18:00-20:00; Qui 18:00-20:00,Ter-Qui,43,9
2023/1,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITIMOS,B1,/graduacao/quadrodehorarios/turmas/100000371246,Vanessa Braganholo Murta,Qua 07:00-09:00; Sex 07:00-09:00,Qua-Sex,50,48
2023/1,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITIMOS,C1,/graduacao/quadrodehorarios/turmas/100000371719,Isabel Cristina Mello Rosseti,Ter 11:00-13:00; Qui 11:00-13:00,Ter-Qui,45,38
2023/1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,A1,/graduacao/quadrodehorarios/turmas/100000371186,Eugene Francis Vinod Rebello,Ter 11:00-13:00; Qui 11:00-13:00,Ter-Qui,20,60
2023/1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,B1,/graduacao/quadrodehorarios/turmas/100000371187,Taiane Coelho Ramos,Ter 11:00-13:00; Qui 11:00-13:00,Ter-Qui,14,53
2023/1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,C1,/graduacao/quadrodehorarios/turmas/100000375590,Debora Christina Muchaluat Saade,Ter 11:00-13:00; Qui 11:00-13:00,Ter-Qui,42,28
2023/1,GGM00137,FUNDAMENTOS DE CÁLCULO E GEOMETRIA,A1,/graduacao/quadrodehorarios/turmas/100000369610,Jiagang Yang,Seg 09:00-11:00; Qua 09:00-11:00,Seg-Qua,25,70
2023/1,GGM00137,FUNDAMENTOS DE CÁLCULO E GEOMETRIA,B1,/graduacao/quadrodehorarios/turmas/100000369612,Abigail Silva Duarte Folha,Ter 11:00-13:00; Qui 11:00-13:00,Ter-Qui,24,70
2023/1,GGM00137,FUNDAMENTOS DE CÁLCULO E GEOMETRIA,D1,/graduacao/quadrodehorarios/turmas/100000369613,Abigail Silva Duarte Folha,Ter 09:00-11:00; Qui 09:00-11:00,Ter-Qui,32,64
2023/1,GGM00137,FUNDAMENTOS DE CÁLCULO E GEOMETRIA,E1,/graduacao/quadrodehorarios/turmas/100000369614,Matias Luis Del Hoyo,Ter 09:00-11:00; Qui 09:00-11:00,Ter-Qui,26,52
2023/1,GGM00137,FUNDAMENTOS DE CÁLCULO E GEOMETRIA,G1,/graduacao/quadrodehorarios/turmas/100000369616,Joao Helder Olmedo Rodrigues,Ter 14:00-16:00; Qui 14:00-16:00,Ter-Qui,14,57
2023/1,GGM00137,FUNDAMENTOS DE CÁLCULO E GEOMETRIA,H1,/graduacao/quadrodehorarios/turmas/100000369617,Cristhabel Janeth Casanova Vasquez,Seg 11:00-13:00; Qua 11:00-13:00,Seg-Qua,24,64
2023/1,GFI00161,FÍSICA EXPERIMENTAL I,BC,/graduacao/quadrodehorarios/turmas/100000369714,Andreia Mendonca Saguia,Ter 11:00-13:00,Ter,24,24
2023/1,GFI00161,FÍSICA EXPERIMENTAL I,BH,/graduacao/quadrodehorarios/turmas/100000369715,Carlos Enrique Navia Ojeda,Sex 11:00-13:00,Sex,24,20
2023/1,GFI00161,FÍSICA EXPERIMENTAL I,CB,/graduacao/quadrodehorarios/turmas/100000369725,Thiago Rodrigues de Oliveira,Ter 14:00-16:00,Ter,25,22
2023/1,GFI00161,FÍSICA EXPERIMENTAL I,CE,/graduacao/quadrodehorarios/turmas/100000369769,Carlos Enrique Navia Ojeda,Qui 14:00-16:00,Qui,24,21
2023/1,GFI00161,FÍSICA EXPERIMENTAL I,DA,/graduacao/quadrodehorarios/turmas/100000369726,Andreia Mendonca Saguia,Seg 16:00-18:00,Seg,24,24
2023/1,GFI00161,FÍSICA EXPERIMENTAL I,DC,/graduacao/quadrodehorarios/turmas/100000369729,Gabriel Bié Alves,Qua 16:00-18:00,Qua,21,18
2023/1,GFI00161,FÍSICA EXPERIMENTAL I,DD,/graduacao/quadrodehorarios/turmas/100000369779,Evandro Vidor Lins de Mello,Ter 16:00-18:00,Ter,23,22
2023/1,GFI00161,FÍSICA EXPERIMENTAL I,DF,/graduacao/quadrodehorarios/turmas/100000369732,Evandro Vidor Lins de Mello,Qui 16:00-18:00,Qui,24,21
2023/1,GFI00161,FÍSICA EXPERIMENTAL I,DG,/graduacao/quadrodehorarios/turmas/100000369752,Gabriel Bié Alves,Sex 16:00-18:00,Sex,24,22
2023/1,GFI00161,FÍSICA EXPERIMENTAL I,ED,/graduacao/quadrodehorarios/turmas/100000369744,Marcel Nogueira de Oliveira,Qua 16:00-18:00,Qua,21,11
2023/1,GFI00161,FÍSICA EXPERIMENTAL I,EE,/graduacao/quadrodehorarios/turmas/100000369733,Gildo de Holanda Cavalcanti,Seg 18:00-20:00,Seg,21,22
2023/1,GFI00162,FÍSICA EXPERIMENTAL II,AB,/graduacao/quadrodehorarios/turmas/100000369721,Marcio Argollo Ferreira de Menezes,Sex 09:00-11:00,Sex,21,21
2023/1,GFI00162,FÍSICA EXPERIMENTAL II,CD,/graduacao/quadrodehorarios/turmas/100000369749,Daniele Cristina Silva de Freitas,Seg 14:00-16:00,Seg,21,3
2023/1,GFI00158,FÍSICA I,B3,/graduacao/quadrodehorarios/turmas/100000369668,Viviane Angelico Pereira Alfradique,Qua 11:00-13:00; Sex 11:00-13:00; Sab 08:00-10:00,Qua-Sex-Sab,96,38
2023/1,GFI00158,FÍSICA I,C1,/graduacao/quadrodehorarios/turmas/100000369666,Jurgen Fritz Stilck,Seg 14:00-16:00; Qua 14:00-16:00; Sab 08:00-10:00,Seg-Qua-Sab,84,81
2023/1,GFI00158,FÍSICA I,D1,/graduacao/quadrodehorarios/turmas/100000369681,Anna Maria Nobrega Chame,Seg 16:00-18:00; Qua 16:00-18:00; Sab 08:00-10:00,Seg-Qua-Sab,100,94
2023/1,GFI00158,FÍSICA I,F1,/graduacao/quadrodehorarios/turmas/100000369667,Marcel Nogueira de Oliveira,Seg 20:00-22:00; Qua 20:00-22:00; Sab 08:00-10:00,Seg-Qua-Sab,95,42
2023/1,GFI00158,FÍSICA I,G1,/graduacao/quadrodehorarios/turmas/100000369696,Viviane Angelico Pereira Alfradique,Qua 09:00-11:00; Sex 09:00-11:00; Sab 08:00-10:00,Qua-Sex-Sab,74,37
2023/1,GFI00159,FÍSICA II,D1,/graduacao/quadrodehorarios/turmas/100000369664,Daniel Schneider Tasca,Seg 16:00-18:00; Qua 16:00-18:00; Sab 11:00-13:00,Seg-Qua-Sab,97,71
2023/1,GFI00159,FÍSICA II,E1,/graduacao/quadrodehorarios/turmas/100000369687,Evandro Vidor Lins de Mello,Seg 18:00-20:00; Qua 18:00-20:00; Sab 11:00-13:00,Seg-Qua-Sab,98,40
2023/1,TEP00111,GERENCIAMENTO DE PROJETOS I,A1,/graduacao/quadrodehorarios/turmas/100000371823,Jose Rodrigues de Farias Filho,Ter 07:00-11:00,Ter,50,40
2023/1,TEP00111,GERENCIAMENTO DE PROJETOS I,B1,/graduacao/quadrodehorarios/turmas/100000371810,Ruben Huamanchumo Gutierrez,Qua 09:00-13:00,Qua,50,30
2023/1,TCC00297,INTELIGÊNCIA ARTIFICIAL,A1,/graduacao/quadrodehorarios/turmas/100000371192,Flavia Cristina Bernardini,Ter 11:00-13:00; Qui 11:00-13:00,Ter-Qui,48,48
2023/1,STA00191,INTELIGÊNCIA DE NEGÓCIOS,P1,/graduacao/quadrodehorarios/turmas/100000372287,Elaine Ribeiro Sigette,Ter 18:00-22:00,Ter,61,56
2023/1,TCC00298,INTERFACE HOMEM-MÁQUINA,A1,/graduacao/quadrodehorarios/turmas/100000371193,Daniela Gorski Trevisan,Qua 09:00-11:00; Sex 09:00-11:00,Qua-Sex,45,25
2023/1,TCC00300,LABORATÓRIO DE PROGRAMAÇÃO DE DISPOSITIVOS MÓVEIS,AA,/graduacao/quadrodehorarios/turmas/100000371294,Leandro Santiago de Araujo,Qui 14:00-16:00,Qui,37,32
2023/1,TCC00300,LABORATÓRIO DE PROGRAMAÇÃO DE DISPOSITIVOS MÓVEIS,BA,/graduacao/quadrodehorarios/turmas/100000371448,Leandro Santiago de Araujo,Qui 16:00-18:00,Qui,46,44
2023/1,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,AA,/graduacao/quadrodehorarios/turmas/100000371295,Esteban Walter Gonzalez Clua,Sex 11:00-13:00,Sex,35,34
2023/1,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,BA,/graduacao/quadrodehorarios/turmas/100000371296,Esteban Walter Gonzalez Clua,Sex 09:00-11:00,Sex,36,36
2023/1,TCC00344,LABORATÓRIO DE PROGRAMAÇÃO PARALELA I,AA,/graduacao/quadrodehorarios/turmas/100000371299,Lucia Maria de Assumpcao Drummond,Seg 07:00-09:00; Qua 07:00-09:00,Seg-Qua,35,34
2023/1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,AA,/graduacao/quadrodehorarios/turmas/100000371297,Leandro Augusto Frata Fernandes,Qua 09:00-11:00,Qua,12,37
2023/1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,BA,/graduacao/quadrodehorarios/turmas/100000371300,Mario Roberto Folhadela Benevides,Qua 09:00-11:00,Qua,12,38
2023/1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,CA,/graduacao/quadrodehorarios/turmas/100000371298,Leandro Augusto Frata Fernandes,Seg 09:00-11:00,Seg,9,30
2023/1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,DA,/graduacao/quadrodehorarios/turmas/100000371301,Mario Roberto Folhadela Benevides,Seg 09:00-11:00,Seg,27,11
2023/1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,EA,/graduacao/quadrodehorarios/turmas/100000371449,Luiz Claudio Frederico Fernandez,Ter 20:00-22:00,Ter,4,33
2023/1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,EA,/graduacao/quadrodehorarios/turmas/100000371449,Paulo Roberto Mann Marques Junior,Ter 20:00-22:00,Ter,4,33
2023/1,GCI00141,LABORATÓRIO DE TRATAMENTO E RECUPERAÇÃO DA INFORMAÇÃO,S2,/graduacao/quadrodehorarios/turmas/100000373409,Christiano Pereira Pessanha,Qui 18:00-22:00,Qui,54,55
2023/1,GLC00292,LIBRAS I,A1,/graduacao/quadrodehorarios/turmas/100000372893,Bruno Ramos,Seg 09:00-11:00,Seg,51,44
2023/1,GLC00292,LIBRAS I,D1,/graduacao/quadrodehorarios/turmas/100000372919,Tathianna Prado Dawes,Qui 09:00-11:00,Qui,37,31
2023/1,GLC00292,LIBRAS I,E1,/graduacao/quadrodehorarios/turmas/100000372927,Tatiane Militao de Sa,Sex 16:00-18:00,Sex,56,56
